axis_x,axis_y,r_mutual,discriminant_power,variance_iris,interpretability,orthogonality,orthogonality_norm,discriminant_power_norm,variance_iris_norm,interpretability_norm,composite_score
score_cap_cult,score_pca_pc2_composition_diplômes,0.899,22.29,632.6,0.0357,0.101,0.09283551967709386,0.6559139784946236,0.5683328379246533,0.1297989031078611,0.3905569514273562
score_confort_residentiel,score_lda_axe1,0.591,11.51,492.04,0.0526,0.409,0.40363269424823406,0.3339307048984468,0.4335561074301714,0.4387568555758684,0.3904903048113411
score_exploitation,score_pca_pc3_équipements_démographie,0.303,7.2,428.78,0.04,0.697,0.6942482341069626,0.20519713261648742,0.37289890786357405,0.2084095063985375,0.38593467418035476
score_ruralite,score_pca_pc7_logement_csp,0.304,9.11,325.59,0.04,0.696,0.693239152371342,0.2622461170848267,0.2739546077801536,0.2084095063985375,0.3858102342069033
score_exploitation,score_pca_pc7_logement_csp,0.091,5.23,214.65,0.0385,0.909,0.9081735620585267,0.14635603345280765,0.16757917749374351,0.1809872029250457,0.3843405962635462
score_exploitation,score_pca_pc5_équipements_csp,0.136,5.3,260.14,0.04,0.864,0.8627648839556004,0.14844683393070487,0.21119751464651793,0.2084095063985375,0.384286785951511
score_pca_pc3_équipements_démographie,score_pca_pc5_équipements_csp,0.117,2.79,416.97,0.0357,0.883,0.8819374369323916,0.07347670250896056,0.36157482428972787,0.1297989031078611,0.38208287728197843
score_cap_cult,score_pca_pc6_équipements_diplômes,0.375,10.14,360.12,0.04,0.625,0.6215943491422805,0.293010752688172,0.30706388854263555,0.2084095063985375,0.381706271851852
score_cap_eco,score_pca_pc5_équipements_csp,0.158,5.73,271.1,0.0385,0.842,0.8405650857719476,0.16129032258064516,0.22170657103681052,0.1809872029250457,0.380110533280929
score_urbanite,score_lda_axe1,0.654,12.97,514.37,0.0476,0.346,0.34006054490413723,0.37753882915173237,0.45496735096988244,0.3473491773308959,0.37725260046795833
score_pca_pc3_équipements_démographie,score_pca_pc6_équipements_diplômes,0.166,3.72,395.76,0.0357,0.834,0.8324924318869829,0.10125448028673835,0.3412374989212876,0.1297989031078611,0.37290413291688995
score_pca_pc4_démographie_chauffage,score_pca_pc6_équipements_diplômes,0.039,2.39,274.31,0.0345,0.961,0.9606458123107972,0.06152927120669056,0.22478449722411334,0.10786106032906768,0.37086504710976365
score_pca_pc6_équipements_diplômes,score_lda_axe1,0.028,1.62,120.31,0.0455,0.972,0.9717457114026236,0.038530465949820784,0.07712074867438228,0.3089579524680073,0.3667772191083018
score_rentier,score_lda_axe1,0.543,6.14,290.26,0.0714,0.457,0.4520686175580222,0.1735364396654719,0.24007824260962118,0.7824497257769654,0.36174144653879087
score_domination,score_pca_pc5_équipements_csp,0.266,7.23,346.74,0.0312,0.734,0.7315842583249244,0.20609318996415768,0.2942344018179901,0.047531992687385706,0.35758457325163834
score_pca_pc3_équipements_démographie,score_lda_axe1,0.224,2.59,310.16,0.0455,0.776,0.7739656912209889,0.06750298685782555,0.25915946725987865,0.3089579524680073,0.35399133908871244
score_domination,score_pca_pc6_équipements_diplômes,0.298,8.16,325.53,0.0312,0.702,0.6992936427850656,0.23387096774193547,0.27389707644954986,0.047531992687385706,0.35355214573821486
score_pca_pc3_équipements_démographie,score_pca_pc4_démographie_chauffage,0.253,3.37,464.15,0.0345,0.747,0.7447023208879919,0.09080047789725208,0.40681362725450904,0.10786106032906768,0.35273274803069776
score_lda_axe1,score_lda_axe2,0.143,0.57,39.88,0.0625,0.857,0.8557013118062563,0.0071684587813620046,0.0,0.6197440585009141,0.35218096289049067
score_cap_eco,score_rentier,0.689,11.18,419.84,0.0556,0.311,0.30474268415741673,0.324074074074074,0.3643267396036092,0.49360146252285186,0.35175429847230055
score_pca_pc7_logement_csp,score_lda_axe1,0.01,0.62,96.03,0.0435,0.99,0.9899091826437941,0.008661887694145757,0.05383973689004804,0.2723948811700182,0.3516315950396016
score_pca_pc3_équipements_démographie,score_pca_pc7_logement_csp,0.18,2.72,371.47,0.0345,0.82,0.8183652875882946,0.07138590203106332,0.31794689858185277,0.10786106032906768,0.3502631907530913
score_pca_pc7_logement_csp,score_pca_pc8_équipements_logement,0.044,0.46,219.95,0.0385,0.956,0.9556004036326942,0.0038829151732377534,0.17266111169707837,0.1809872029250457,0.34971944417861395
score_pca_pc8_équipements_logement,score_lda_axe2,0.138,0.41,163.8,0.0526,0.862,0.8607467204843592,0.002389486260454001,0.11882137480703037,0.4387568555758684,0.34863813963425305
score_ruralite,score_lda_axe1,0.526,8.98,264.28,0.0556,0.474,0.4692230070635721,0.258363201911589,0.21516717645817954,0.49360146252285186,0.3482676774581914
score_pca_pc5_équipements_csp,score_pca_pc6_équipements_diplômes,0.079,1.81,227.12,0.0357,0.921,0.9202825428859738,0.04420549581839904,0.17953610570423145,0.1297989031078611,0.3469337430092572
score_exploitation,score_rentier,0.719,10.75,408.87,0.0588,0.281,0.2744702320887992,0.3112305854241338,0.353808094658216,0.5521023765996343,0.34484874994667497
score_pca_pc4_démographie_chauffage,score_pca_pc8_équipements_logement,0.149,1.11,312.63,0.0385,0.851,0.8496468213925328,0.02329749103942652,0.2615278403697347,0.1809872029250457,0.34250181679426284
score_ruralite,score_pca_pc4_démographie_chauffage,0.53,9.76,418.27,0.04,0.47,0.46518668012108977,0.2816606929510155,0.36282133645280995,0.2084095063985375,0.34196293981952497
score_pca_pc5_équipements_csp,score_lda_axe1,0.095,0.69,141.52,0.0455,0.905,0.9041372351160444,0.010752688172043008,0.09745807404282252,0.3089579524680073,0.3408399190737939
score_rentier,score_pca_pc3_équipements_démographie,0.676,8.24,565.7,0.05,0.324,0.31786074672048437,0.23626045400238946,0.5041854043014259,0.3912248628884827,0.3375701932105392
score_equipement_public,score_pca_pc3_équipements_démographie,0.587,3.23,682.34,0.05,0.413,0.4076690211907164,0.08661887694145758,0.6160263109951962,0.3912248628884827,0.3345063049190367
score_equipement_public,score_pca_pc7_logement_csp,0.362,1.26,468.21,0.0476,0.638,0.6347124117053481,0.027777777777777773,0.4107065806253656,0.3473491773308959,0.3343796384585342
score_pca_pc4_démographie_chauffage,score_pca_pc7_logement_csp,0.101,1.4,250.02,0.0333,0.899,0.8980827447023209,0.031959378733572276,0.2014938968846785,0.08592321755027428,0.3337978679769234
score_cap_eco,score_lda_axe1,0.349,5.53,164.3,0.05,0.651,0.6478304742684158,0.15531660692951013,0.11930080256206195,0.3912248628884827,0.33125384465153807
score_domination,score_pca_pc2_composition_diplômes,0.941,20.31,598.01,0.0286,0.059,0.05045408678102926,0.596774193548387,0.5351660258315675,0.0,0.3310403989425577
score_pca_pc5_équipements_csp,score_pca_pc7_logement_csp,0.083,0.82,202.84,0.0345,0.917,0.9162462159434914,0.014635603345280761,0.15625509391989725,0.10786106032906768,0.32742650378723526
score_exploitation,score_lda_axe1,0.365,5.11,153.33,0.0526,0.635,0.6316851664984864,0.14277180406212664,0.10878215761666878,0.4387568555758684,0.32704564123100427
score_pca_pc5_équipements_csp,score_lda_axe2,0.173,0.76,146.69,0.0455,0.827,0.8254288597376387,0.012843488649940261,0.10241535702984919,0.3089579524680073,0.3189506432249416
score_pca_pc5_équipements_csp,score_pca_pc8_équipements_logement,0.192,0.53,265.45,0.04,0.808,0.8062563067608477,0.005973715651135005,0.21628903740495348,0.2084095063985375,0.31848692594692285
score_pca_pc3_équipements_démographie,score_pca_pc8_équipements_logement,0.366,2.43,434.08,0.04,0.634,0.6306760847628659,0.06272401433691756,0.37798084206690896,0.2084095063985375,0.31801382481994334
score_pca_pc8_équipements_logement,score_lda_axe1,0.24,0.33,158.64,0.0526,0.76,0.7578203834510595,0.0,0.11387368037510429,0.4387568555758684,0.315934379446719
score_pca_pc4_démographie_chauffage,score_pca_pc5_équipements_csp,0.211,1.47,295.52,0.0345,0.789,0.7870837537840566,0.03405017921146953,0.24512182259255355,0.10786106032906768,0.31324621242710216
score_exploitation,score_domination,0.642,11.65,358.55,0.0345,0.358,0.3521695257315842,0.3381123058542413,0.3055584853918364,0.10786106032906768,0.30128102089618713
score_domination,score_cap_eco,0.664,12.08,369.52,0.0333,0.336,0.3299697275479314,0.3509557945041816,0.3160771303372295,0.08592321755027428,0.29792935504083
score_pca_pc6_équipements_diplômes,score_lda_axe2,0.279,1.69,125.48,0.0455,0.721,0.7184661957618567,0.04062126642771803,0.08207803166140895,0.3089579524680073,0.2925166011807412
score_equipement_public,score_pca_pc5_équipements_csp,0.567,1.33,513.7,0.05,0.433,0.42785065590312815,0.029868578255675026,0.4543249177781401,0.3912248628884827,0.2883579121493251
score_domination,score_cap_cult,0.9,15.56,479.74,0.0345,0.1,0.09182643794147327,0.45489844683393066,0.4217621846563942,0.10786106032906768,0.28729398375495674
score_pca_pc4_démographie_chauffage,score_lda_axe2,0.311,1.34,193.87,0.0435,0.689,0.6861755802219979,0.030167264038231778,0.14765415999463044,0.2723948811700182,0.2868012806544093
score_pca_pc4_démographie_chauffage,score_lda_axe1,0.308,1.27,188.71,0.0435,0.692,0.6892028254288597,0.028076463560334525,0.1427064655627044,0.2723948811700182,0.2859881351628186
score_pca_pc6_équipements_diplômes,score_pca_pc7_logement_csp,0.24,1.75,181.63,0.0345,0.76,0.7578203834510595,0.042413381123058536,0.135917768551457,0.10786106032906768,0.28555351118803984
score_pca_pc7_logement_csp,score_lda_axe2,0.26,0.7,101.19,0.0435,0.74,0.7376387487386478,0.011051373954599758,0.058787431321974094,0.2723948811700182,0.2777763239456018
score_equipement_public,score_pca_pc8_équipements_logement,0.69,0.97,530.82,0.0588,0.31,0.30373360242179614,0.019115890083632014,0.47074052411042194,0.5521023765996343,0.2747741035678396
score_pca_pc6_équipements_diplômes,score_pca_pc8_équipements_logement,0.364,1.46,244.24,0.04,0.636,0.6326942482341069,0.033751493428912774,0.19595171203651326,0.2084095063985375,0.2720730655374348
score_pca_pc3_équipements_démographie,score_lda_axe2,0.527,2.67,315.32,0.0455,0.473,0.46821392532795153,0.06989247311827956,0.2641071616918047,0.3089579524680073,0.2640916683983453
score_exploitation,score_cap_eco,0.991,10.15,282.91,0.0435,0.009,0.0,0.29330943847072877,0.23303065461065678,0.2723948811700182,0.19012366656238913
