,pct_etrangers,pct_immigres,age_moyen,pct_femmes,taille_menage_moy,pct_hors_menage,ecart_csp_plus_hf,pct_0_19,pct_20_64,pct_65_plus,pct_csp_agriculteur,pct_csp_independant,pct_csp_plus,pct_csp_intermediaire,pct_csp_employe,pct_csp_ouvrier,pct_csp_retraite,pct_csp_sans_emploi,DISP_MED21,DISP_TP6021,DISP_GI21,DISP_RD21,DISP_S80S2021,DISP_PTSA21,DISP_PPAT21,DISP_PPEN21,DISP_PPSOC21,DISP_PCHO21,DISP_PPFAM21,DISP_PPLOGT21,DISP_PPMINI21,DISP_PIMPOT21,DISP_PACT21,pct_sup5,pct_sans_diplome,pct_capbep,pct_bac_plus,pct_chomage,pct_cdi,pct_cdd,pct_interim,pct_temps_partiel,pct_inactif,pct_etudiants,pct_actifs_voiture,pct_actifs_transports,pct_actifs_velo,pct_actifs_2roues,pct_actifs_marche,pct_proprietaires,pct_locataires,pct_hlm,pct_logvac,pct_maison,pct_appart,pct_petits_logements,pct_grands_logements,pct_logements_anciens,pct_logements_recents,pct_voiture_0,pct_voiture_2plus,surface_moyenne,pct_suroccupation,pct_chauffage_elec,pct_chauffage_fioul,pct_chauffage_gaz_ville,pct_chauffage_gaz_bouteille,pct_chauffage_autre,pct_garage,nb_pieces_moyen,pct_studios,pct_logements_5p_plus,bpe_total_pour1000,bpe_A_services_pour1000,bpe_B_commerces_pour1000,bpe_C_enseignement_pour1000,bpe_D_sante_pour1000,bpe_E_transports_pour1000,bpe_F_sports_culture_pour1000,bpe_G_tourisme_pour1000,bpe_educ_prioritaire_pour1000,bpe_ecole_privee_pour1000,bpe_sport_indoor_pour1000,pct_sport_accessible
pct_etrangers,1.0,0.9704336234921078,-0.3167246577479553,0.21311535268126025,0.06903993466743562,0.06906819836968749,0.11849416659647177,0.06651816328847704,0.2699525862461203,-0.2886592595815776,-0.46356691953796975,-0.1851551502009527,0.19916751264737095,-0.07242572288249124,0.09370753212727215,-0.18671128070135062,-0.42445540650642555,0.5467331157203479,-0.2052125243158123,0.48609322459151083,0.5106333488016154,0.6504096561634342,0.4293957096985997,0.1470919140691346,-0.1741703914786626,-0.3034381062486899,0.30216838858561557,0.5193703903222178,0.108783729688202,0.4089300613745685,0.330041082398035,-0.036543347950823424,0.14702902092788245,0.31476165832186187,0.11362149407271564,-0.5235678070823564,0.16204967315118407,0.45785614822243065,-0.28137014417867606,0.2761413938020537,0.023456219318981737,-0.03986834560095172,0.23174614943679622,0.35204172087969204,-0.6339666799226531,0.6284582093543963,0.3838124966094724,0.2651384420501477,0.44516938172031245,-0.6204632384127358,0.6041842626257893,0.40613026736724867,0.10217242192696872,-0.6926880034708437,0.6904970845055367,0.6045296220118463,-0.5801843029345292,-0.3165390393847329,-0.24561585561171642,0.6243889477599562,-0.6499987705662815,-0.6446309115282544,0.523697725039342,-0.12205637438277078,-0.48926947772419804,0.5176173928645307,-0.47951882532437595,-0.6081647464655545,-0.5043719630928981,-0.6799497310062391,0.5805258581375453,-0.6866658122927577,0.049358579584400174,-0.02753271201398756,0.1278245847555568,0.004405545251577973,0.19166420033242695,0.4231253490615237,-0.3923808453078141,0.10726950063759128,0.2978807451997626,0.0027430762844108136,-0.13697109629605755,0.018100733540892783
pct_immigres,0.9704336234921078,1.0,-0.3050458626825675,0.23309970335289246,0.06230283535137216,0.062329327699654234,0.15757959001233932,0.06288426739142328,0.2685281951465272,-0.2808189371085035,-0.5018472791054766,-0.17342331682512277,0.25332092380050625,-0.02631386368807648,0.0840197082767485,-0.24933861813280736,-0.419564881566607,0.5397917736394666,-0.14225154236887558,0.4308473647320335,0.5220712243460779,0.6670391724341754,0.424858540068323,0.17797242803626093,-0.14864627482310316,-0.3047928640861278,0.24717524783749406,0.483734404912137,0.06836505134478266,0.35590134696404024,0.2773394636826654,-0.0956634513137374,0.18057212822901292,0.36677512546646635,0.0650052856554691,-0.5570434827417754,0.21675016591274496,0.43133879361141264,-0.2177725336893891,0.22371140243697718,-0.02084072899431838,-0.06449650564273988,0.217924050157422,0.3819289848509899,-0.6256252840497394,0.6536451792128211,0.39531501944684894,0.28081214062381127,0.41673520945817116,-0.5996715220891959,0.5835973377230043,0.40168249916049176,0.05359341643522261,-0.7067399207134875,0.7064307830230547,0.588139816775492,-0.5676893954841004,-0.366218212468215,-0.230720995256408,0.5946392086965,-0.6236564590606875,-0.6283234780986575,0.5156410489835895,-0.10673190609470067,-0.5168540144344392,0.544654889177394,-0.49624676052775796,-0.6427121447604242,-0.4670793900416776,-0.6757292096423619,0.5708759011358447,-0.6811529036421763,0.04209520064169883,-0.030517463454632625,0.1216841900945467,-0.018730262618330877,0.2004043687652432,0.4541862895188489,-0.41697215366685797,0.0988227264570083,0.28431177312873757,-0.021694409602255126,-0.1427196441009494,0.01794371052028672
age_moyen,-0.31672465774795533,-0.3050458626825675,1.0,0.20679597239926856,0.15513220049993093,0.15508907419326826,-0.14223399078763327,-0.757451829598408,-0.6547673491867311,0.9681607903871607,0.28245171227677734,0.1991041258940969,-0.25059232245525,-0.367124003559331,-0.3621810072498745,-0.12231628419160762,0.8884009449298882,-0.3916389514171213,0.032018340420023994,-0.12437638621318207,0.0013451107728858964,-0.1200439521041696,-0.0199836313962286,-0.661766194784509,0.39128477838279246,0.8508347461104891,-0.17525469834069538,-0.347741831136655,-0.3612343415580259,-0.15354137107597693,-0.07415131870761331,0.0331325674161156,-0.6235731261971112,-0.1881798127079881,0.12819834354039472,0.2794883732823208,-0.2053267938088859,-0.06255735457148247,0.03045885543784182,0.039127588441260075,-0.08655299184560186,0.15051121898606123,0.12557475013927358,-0.42947287129165107,0.26838156169952015,-0.4420750212848817,-0.10401910956284426,-0.08190927758371361,-0.028476680750664073,0.25896056904509945,-0.2771928371141498,-0.26858774885335296,0.15145492354548976,0.23612966881591496,-0.23909002482957545,-0.17561606112838002,0.2602281110841531,0.24026181965979618,-0.1570385431577776,-0.14231036779109016,0.08873518256224532,0.23663112934177752,-0.25616910754286465,0.050178352285849465,0.3404866443590609,-0.2625734385006232,0.23463672638315772,0.284500910820884,0.12741947771230866,0.20185064573461198,-0.17805734577110796,0.18179644160919578,0.2691022252737227,0.2116994009442378,0.18762558517618078,0.046386969168526186,0.14360545338699945,-0.27010348281682073,0.3424726080447489,0.17889346502341177,-0.22487507928442346,-0.002328224581864526,0.14567213243664373,-0.046554742033409785
pct_femmes,0.21311535268126025,0.23309970335289246,0.20679597239926856,1.0,0.16108351076368538,0.16102607284720777,0.16490025314798396,-0.20718073442052468,-0.2278078503826583,0.2647374633077554,-0.28296909022629424,-0.13381654427559075,0.09988016376747035,-0.10399896660472246,-0.04529938957160346,-0.27104118666147325,0.1575945310403602,0.18135996354819234,-0.04220989384981738,0.15447142400479252,0.22353141029068796,0.3282723074682654,0.1141009639208595,-0.14220058082466433,0.021225225774885944,0.22608285113548066,0.07375527333144132,0.052064672692743494,-0.11239916626222717,0.2024512029621278,0.1741860583338201,-0.045821531518508936,-0.14156039398627915,0.16354885902899055,0.03903872911680452,-0.2512453783764943,0.09517370382814581,0.2822521173768269,-0.12704475497025425,0.1588620288907845,-0.022825768452325205,0.04979870647718078,0.19511434640670688,0.2087548652304946,-0.2688221238619177,0.27233177277830106,0.34224630886690244,0.20536641397016472,0.34099187110463186,-0.40609549125701355,0.409854859432727,0.31612747096251737,0.0441379027869058,-0.4128573871923768,0.4186023401311618,0.3182483729311996,-0.3695572584321444,-0.2394147156659394,-0.2004879535889777,0.42470810533150605,-0.4538082529105757,-0.3966961260150537,0.15146680802702878,-0.050363085934193,-0.32383938242780574,0.40026374787480407,-0.3399092473504557,-0.4382652786272977,-0.3021397719228313,-0.3885934424486614,0.2892290675077256,-0.38807201361888,0.10492328539870369,-0.05299082370504041,0.21601739224621,0.013593551892873965,0.38907468530289624,0.1395656141361704,-0.20712616748031426,0.1228818672144976,0.032832339154085156,0.10797774631762869,0.03529157875317528,0.01805749569445769
taille_menage_moy,0.06903993466743562,0.06230283535137216,0.15513220049993093,0.16108351076368538,1.0,0.9999593036196036,0.017813152882062307,-0.1491236698513295,-0.13808231360085887,0.18187701910174436,-0.02741177675799897,-0.034635457459724815,0.0010614694131819114,-0.10936389559726119,-0.06757791845555856,-0.08733127780233708,0.12265283459615214,0.13705050872790775,-0.0399746077070681,0.051139266357833106,0.1517396063394149,0.19336548331418563,0.031203057999720122,-0.07357607096530971,0.061024593293040566,0.1359855880049351,0.04292265254932265,-0.033204634713268635,-0.057214553596272755,0.1327250304493831,0.1219653495352935,-0.005120869814752162,-0.06573046222128945,0.04867754299039504,0.10559914469084332,-0.10648906905107798,0.0035537239870173263,0.10166877964261627,-0.164838916610965,0.1484981783175988,0.04704312825946422,0.0350979457440232,0.18772702512827122,0.038674966893113505,-0.08842632907169787,0.0622533775473388,0.19667842823573936,0.1151931612843303,0.24199771600793027,-0.23794712312710908,0.23930523886397584,0.2114801550592724,0.09461098875364352,-0.1971130577872646,0.1959889600950549,0.21803001579548187,-0.13857423879953099,-0.060632345261334514,0.06760533447406586,0.1707523609995937,-0.18296747047659628,-0.18988174884085235,0.07873994596495772,0.1263957776142448,-0.12557181749038868,0.1551166831227288,-0.09519229986981663,-0.1732097655498604,-0.10130124552483417,-0.18931575387358549,0.21120247092658642,-0.17379979115819622,0.22458003041709676,0.09519526745203132,0.2614096600407392,0.15281474201795223,0.36797971823226516,0.0545119008048476,0.03477813603364899,0.20646940349855158,-0.013271780364438542,0.25057550061199585,0.20841271336708703,-0.00014830267423017926
pct_hors_menage,0.0690681983696875,0.062329327699654234,0.15508907419326828,0.16102607284720777,0.9999593036196036,1.0,0.017774184318585684,-0.1491496405825827,-0.13803558381797376,0.18183229355241823,-0.027438630850798364,-0.03466573280320141,0.0010056053307740708,-0.10943075400717253,-0.06755643710175646,-0.08736705969490474,0.12260701940188365,0.137098738581293,-0.03998447111623028,0.05117033296632406,0.15174629921901833,0.19340027599318393,0.03125953415095656,-0.07358661052928915,0.06101910260651467,0.13593906019308374,0.04293413299296452,-0.03316958804441674,-0.05719453001920853,0.1327506144800988,0.1219877061204786,-0.005113705997229596,-0.06571305120604981,0.04861556364873015,0.10565390132841698,-0.10652991299846935,0.0035182382886795615,0.10165440762679756,-0.16484658094593937,0.1485069161070778,0.04702864112402307,0.03510800498320392,0.18777714836847811,0.03860287927770275,-0.08845818171915151,0.06228042511078282,0.19662516815444372,0.11513945257898212,0.24193878592974633,-0.23793447473848098,0.2392912219907997,0.21144966288967512,0.0946246561737938,-0.19708176874975686,0.19595745736730955,0.21800465285585482,-0.13854771434430588,-0.06061853543516989,0.06759384990868032,0.17072983410361584,-0.18296065116390783,-0.18985365214233949,0.07872835473205829,0.12637911949432026,-0.12554149178380172,0.15508320685099394,-0.0951846491686624,-0.1731903552999055,-0.10128755190122953,-0.18929171412123258,0.21117739333774085,-0.1737740328007614,0.22458381899703855,0.09518663452932076,0.26140918983628786,0.15277987205448335,0.367989646220193,0.054468504982670744,0.03482226927507518,0.2064735431170221,-0.01328262737598687,0.2505631059921874,0.20841185182854735,-0.00011667158533419377
ecart_csp_plus_hf,0.11849416659647176,0.15757959001233932,-0.14223399078763327,0.16490025314798396,0.017813152882062307,0.017774184318585684,1.0,0.010813300474489591,0.2167328844741203,-0.15128591034499944,-0.2438612437616494,-0.026256048567098015,0.560508802445785,0.3157478256791776,-0.14452409247056872,-0.4191088561307844,-0.19272142164310554,0.03277453149749648,0.4123847062827318,-0.27499662216072635,0.23644882596332803,0.25472997364886474,0.1969228566219507,0.36998128279047066,0.14926532475095414,-0.2320007533950917,-0.3249069333827819,-0.14970754972015501,-0.3041932805675428,-0.23698817040568143,-0.3059275243741224,-0.44360504853454313,0.38887977927460954,0.4924087576010938,-0.4165543862791164,-0.38395684648532313,0.5024062131576634,-0.16658651586891018,0.22441452595475234,-0.20124520909258367,-0.23028810772505892,-0.18175676714886305,-0.17818828788499727,0.2884147771724966,-0.2015995038317594,0.3204725850653541,0.25297856887674414,0.18973762613468326,0.0490842522590611,-0.0882509768592131,0.09630907406503098,0.04734041174298869,-0.14696231435219784,-0.21793980448145583,0.22306660739069603,0.1568853040827602,-0.020756020429525963,-0.17196123294086038,0.0593358069262597,0.05949388504847367,-0.06547114404897578,-0.09064911334963223,0.10850941547738727,0.06468387353567799,-0.2263580953481374,0.2343318277121111,-0.20751827371373552,-0.30214619196832304,0.06344749479436296,-0.11095854220023854,0.19706537360359253,-0.087017474200238,-0.03403119428440672,-0.08439117753728359,0.03620786244680437,-0.0678262681107215,0.15529022419929206,0.17843267489827247,-0.24293724368375788,0.05050589210695486,-0.11418242946536322,0.07683960170723264,-0.05543734641357895,0.005552278480244429
pct_0_19,0.06651816328847701,0.06288426739142329,-0.7574518295984078,-0.20718073442052468,-0.14912366985132952,-0.14914964058258268,0.010813300474489591,1.0,0.1516574608798625,-0.6825427858090338,-0.0894277137087553,-0.12431524730634959,-0.024190821087733058,0.21093419771400776,0.3716146857217044,0.32436032335027115,-0.5476792111562692,0.24563401155485076,-0.11849647132845893,0.01354255461670871,-0.25891896001178255,-0.15599925516064567,-0.28500675833639283,0.4300094645304642,-0.40020985436831763,-0.5655253287734728,0.19680171898818744,0.14714200295662833,0.5502147639139123,0.05626886915801921,0.048252990069454944,0.1760319435964301,0.37429089218229916,-0.10248624518862111,0.08586088676992107,0.006484017291120706,-0.07204142764182049,-0.016477298549914608,0.12163814713781307,-0.1936209840954328,0.17590079493358712,-0.07072543103246268,-0.05078807281327506,0.32846236938188617,0.04588957359428503,0.15766067382821963,-0.14373094557108887,-0.03887682810475242,-0.2157846140439456,0.009178657592187563,0.015894366466019338,0.23204014514308094,-0.23667203256968403,0.06223917821564389,-0.05786379582720975,-0.1516891416596449,0.0022789025150853934,-0.2520754140790593,0.23777725341409278,-0.12244215957100384,0.19332478671335557,0.07655521599192466,0.019816717332543157,-0.15176344271205797,-0.11837889257806188,0.1288877399631083,-0.02386848845683773,-0.00965067274631843,0.09476639423586054,0.12263195835400005,-0.14132938693858738,0.12778980809460724,-0.3441189800605926,-0.2551194720599746,-0.2992625784777498,-0.04254911046618619,-0.2621715423544398,0.1636248931373096,-0.13110171987257463,-0.30382928034719736,0.21837959763421064,-0.06304464206670295,-0.0335895469670922,0.06563223775600746
pct_20_64,0.2699525862461203,0.2685281951465272,-0.6547673491867311,-0.2278078503826583,-0.13808231360085885,-0.13803558381797376,0.21673288447412037,0.15165746087986254,1.0,-0.76593553115188,-0.24252099043424014,-0.07518802416601333,0.4470785246225016,0.4750980440737382,0.21164921426677966,-0.10248628663116795,-0.7496242274549789,0.1961261323080662,0.20457097269462554,-0.016977535096219947,0.1864933709383963,0.22483435801310292,0.24517323949997497,0.6539433339516735,-0.12236703450907192,-0.7302136409184877,-0.07853184845337825,0.2252726420702558,-0.06546071360607543,-0.021929245774984774,-0.10655460706095272,-0.30378837266147224,0.6587873684260526,0.3884939956372908,-0.35498934806897325,-0.31154787941298184,0.4196478079005992,-0.06721888406765227,0.0498385559091346,-0.06421017881934933,-0.11371227572939588,-0.23913174465563675,-0.2754623051552881,0.19817858210648787,-0.2900714304549259,0.3847639826852806,0.16563279671276826,0.12200931109880044,0.0796997116472274,-0.1970673513780345,0.19842059262475353,0.04561955469747912,-0.05024470650215817,-0.2563486730501365,0.2563300976799205,0.2680429322238872,-0.1876742116949528,-0.060548560381081244,0.09016299310538535,0.12032631902801158,-0.10187986785826705,-0.23008601544435017,0.23296242430993944,0.08974508344280233,-0.24527667181322502,0.1429109136343571,-0.20595254917159686,-0.2632672194509259,-0.08837727622524003,-0.24290473137233942,0.27918051787311277,-0.2146086842418135,-0.08221516315740376,-0.04032588884413187,-0.04897988037876674,-0.05444941005471538,-0.055033732247034464,0.2111929171258126,-0.29827168883859967,-0.011865950659292742,0.012713669536687814,0.009221535176420737,-0.16551574430415458,0.008877581054026185
pct_65_plus,-0.2886592595815777,-0.2808189371085035,0.9681607903871607,0.2647374633077554,0.18187701910174436,0.18183229355241823,-0.15128591034499944,-0.6825427858090338,-0.76593553115188,1.0,0.25743070659544603,0.1549462263233699,-0.2904248076323979,-0.41534207090987885,-0.3507751059340495,-0.09945824026917298,0.9054613155093663,-0.33718088280275804,-0.03598435077555097,-0.06531479925154696,-0.010020400984497765,-0.10902425632472902,-0.04544546214543958,-0.6988591090446806,0.343327822587172,0.8905510536277662,-0.10257648485158415,-0.3195665051640048,-0.2868706529563896,-0.07918450728611763,-0.003073677909287362,0.09373530985216137,-0.6687507860047303,-0.2166459058341882,0.1834440951425284,0.26756372833884706,-0.24364533419958725,-0.0022064266461719905,-0.028132512101532774,0.08364272591156016,-0.036493774829620365,0.17713281843921264,0.1739667592326514,-0.377131788249377,0.2486181064747324,-0.4172106584624039,-0.0744310013853754,-0.07686791465362719,0.0097980466522756,0.19981237256604706,-0.21496536053981175,-0.2034272120769003,0.1621877317096414,0.20025782569794623,-0.20259671132378868,-0.15228749471234562,0.19918797138658348,0.19461578314272532,-0.16427471697297424,-0.08733792937618495,0.033641365944417856,0.18488778771393594,-0.2356771151114356,0.020508405232033674,0.29536699283856155,-0.20660806866408699,0.19750854905930687,0.24288232905864934,0.07948660122116238,0.16068784979964854,-0.15937149032006867,0.13983062519512876,0.2566188967458586,0.18436222144210787,0.19205078417656718,0.059570371845353146,0.17566267301985647,-0.2681506830182586,0.3195383143854407,0.16403931801272914,-0.1841945112929714,0.01755210522285973,0.15409003045116287,-0.03851820595077275
