,LE_PEN,MACRON,MELENCHON,ZEMMOUR,AUTRE,PECRESSE
pct_etrangers,-0.7881578854057628,1.7772182087974793,-1.979847495606355,-0.6906841056559088,0.33496880018745445,0.36377959670560867
pct_immigres,-2.7079073904720476,-1.487820742877909,5.058885316156379,0.4283348972071958,-0.03677348993394858,-0.3398662135986389
age_moyen,-2.7114575962052725,0.012297658531117417,0.26325656067993614,-0.0520721911116363,1.3185896044340013,0.08116639264720138
pct_femmes,0.4276539093616776,-0.09654834836210685,-0.35108727363167297,-0.03270648605735694,0.0599876487347751,-0.02706798238284166
taille_menage_moy,0.05372323281820407,-0.004623881054772475,0.014927105844120062,-0.02359289155535459,-0.005801629128815456,0.0008803244442259269
pct_hors_menage,-0.2589425286588465,0.35399521649114496,-0.21585646102689443,-0.08899529670263578,0.030816611891852586,0.0029693381264691565
ecart_csp_plus_hf,0.2159796426041789,0.09001256796711476,-0.3131330225358918,0.12739987118771234,-0.09912103883082547,0.02781135623462694
pct_0_19,856134113053.5854,-1479225236358.984,574887565117.584,270146951901.94385,228513245072.735,-329097765612.96936
pct_20_64,848307075913.0571,-1465701711611.5537,569631769027.8135,267677186716.57642,226424107834.47546,-326089054249.90784
pct_65_plus,1271506145482.4102,-2196903440598.712,853806735257.25,401214604451.645,339381401818.728,-488766683935.3093
pct_csp_agriculteur,17.337141969552018,-4.690776627635759,-21.962248162377314,6.534265507741077,4.90803274636955,1.5207818130423711
pct_csp_independant,14.28107526350992,-4.508153287999435,-16.453606855365653,5.319483483514387,3.3171775274453865,0.7715436513967541
pct_csp_plus,31.62956827197671,-9.74084113487244,-36.32040563269144,11.282137628219868,7.198144162498113,1.5701592931666573
pct_csp_intermediaire,26.55449711398042,-8.897328514427432,-29.41480482888153,9.497348323306152,5.846396773150351,1.1718657014088465
pct_csp_employe,25.064214215280614,-8.126433318385617,-28.013404999157817,8.970757521083126,5.592229447919553,1.1719894041807832
pct_csp_ouvrier,31.025407851225644,-9.266295832392654,-35.25769369115579,10.791229673767386,6.795145412046372,1.6017049128147978
pct_csp_retraite,46.75091294105093,-14.157098667393718,-53.30199520431201,16.55058670466871,10.485850987715793,2.232872982801352
pct_csp_sans_emploi,33.490606911188095,-11.482906831376159,-36.587136561097736,11.764954574946096,7.431432835248705,1.4383461275951062
DISP_MED21,0.531441290526396,1.0047730208226626,-2.049871360662748,0.2900524938236546,-0.270003019149462,0.5776390048743736
DISP_TP6021,3.474832279521576,-2.2095524884030597,-1.4545222647096256,0.6072049766256811,0.15118479558547762,-0.15511861146162848
DISP_GI21,-0.8669239414309706,0.4247060199530226,0.3673518514408129,-0.11208159732432499,-0.15981405222528955,0.1257608350981367
DISP_RD21,0.164106103813505,0.4078490420331713,-0.28766260827716494,0.09240626991061374,-0.13492616865851986,-0.10461422192457914
DISP_S80S2021,0.20041734283266638,-0.12703480078516305,-0.2312960646958933,0.004963002952558915,0.23270155235960416,-0.003272542900347175
DISP_PTSA21,-0.1463418590561516,0.6043864801813255,-0.7844465755350227,-0.3847375355899527,0.22242237914635565,0.2747348752275194
DISP_PPAT21,-0.2066110745019793,0.17956430509261873,0.00837684240990097,0.16608611599130052,0.005681462659671219,-0.02519257762163224
DISP_PPEN21,-1.140653208202819,0.8549054175388586,-0.6541575954914585,-0.05351891638708661,0.4018771302688503,0.27623016773216014
DISP_PPSOC21,0.860156286447955,-0.7940001390226474,-1.8561715755095416,0.643095953627154,1.2096496394978966,0.43926922811707536
DISP_PCHO21,0.10897826418793954,-0.8237593822295667,1.0146168624544707,0.04857742007839072,-0.026192226105099237,-0.09465784831616299
DISP_PPFAM21,-1.9586445770384415,0.32522339296298175,3.261477095087759,-0.4656050246087105,-0.5478742346074443,-0.10619213778036803
