var1,var2,pearson_r,spearman_r,diff
DISP_GI21,DISP_PPAT21,0.626,0.419,0.206
pct_bac_plus,surface_moyenne,-0.277,-0.07,0.206
pct_sans_diplome,pct_hlm,0.499,0.293,0.206
pct_csp_agriculteur,pct_voiture_0,-0.261,-0.467,0.206
pct_actifs_marche,pct_hlm,0.161,0.366,0.206
pct_csp_agriculteur,pct_logements_recents,-0.009,0.197,0.206
pct_sup5,pct_petits_logements,0.588,0.383,0.205
pct_actifs_marche,pct_logements_anciens,0.12,-0.086,0.205
DISP_PPFAM21,pct_chauffage_gaz_ville,0.287,0.083,0.204
pct_csp_plus,pct_csp_intermediaire,0.347,0.551,0.204
taille_menage_moy,pct_studios,0.007,0.211,0.204
pct_etrangers,pct_actifs_velo,0.181,0.384,0.203
DISP_RD21,pct_locataires,0.402,0.606,0.203
DISP_S80S2021,DISP_PCHO21,0.021,0.224,0.203
DISP_PIMPOT21,pct_petits_logements,-0.332,-0.129,0.203
pct_csp_agriculteur,pct_etudiants,-0.218,-0.42,0.202
DISP_PPAT21,pct_voiture_0,-0.053,-0.254,0.201
taille_menage_moy,bpe_G_tourisme_pour1000,0.006,0.206,0.201
taille_menage_moy,bpe_sport_indoor_pour1000,0.008,0.208,0.201
DISP_PACT21,pct_actifs_voiture,-0.419,-0.218,0.201
DISP_RD21,pct_chauffage_autre,-0.46,-0.661,0.201
pct_actifs_2roues,pct_hlm,0.003,0.203,0.2
pct_csp_agriculteur,pct_studios,-0.208,-0.408,0.2
pct_actifs_velo,pct_actifs_2roues,0.155,0.354,0.199
pct_femmes,pct_studios,0.09,0.289,0.199
DISP_RD21,pct_proprietaires,-0.424,-0.623,0.199
pct_actifs_marche,bpe_A_services_pour1000,0.244,0.045,0.199
pct_immigres,DISP_GI21,0.323,0.522,0.199
pct_immigres,pct_actifs_velo,0.196,0.395,0.199
pct_hors_menage,pct_hlm,0.013,0.211,0.199
pct_hors_menage,bpe_D_sante_pour1000,0.169,0.368,0.199
pct_20_64,nb_pieces_moyen,-0.442,-0.243,0.199
pct_etudiants,pct_logements_anciens,-0.137,-0.335,0.198
DISP_TP6021,DISP_RD21,0.113,0.311,0.198
pct_etudiants,bpe_C_enseignement_pour1000,0.224,0.026,0.198
pct_csp_plus,nb_pieces_moyen,-0.36,-0.163,0.197
DISP_PACT21,pct_petits_logements,0.327,0.129,0.197
pct_csp_intermediaire,DISP_PIMPOT21,-0.301,-0.497,0.197
pct_csp_agriculteur,DISP_RD21,-0.227,-0.424,0.197
pct_immigres,pct_femmes,0.036,0.233,0.197
DISP_RD21,pct_bac_plus,0.609,0.413,0.196
taille_menage_moy,pct_actifs_velo,0.001,0.197,0.196
DISP_S80S2021,DISP_PPAT21,0.604,0.408,0.196
pct_0_19,pct_chomage,0.178,-0.016,0.195
DISP_PIMPOT21,pct_voiture_2plus,0.088,-0.107,0.195
DISP_MED21,pct_petits_logements,0.074,-0.121,0.195
pct_voiture_0,pct_chauffage_gaz_bouteille,-0.391,-0.586,0.195
pct_immigres,pct_csp_ouvrier,-0.055,-0.249,0.194
pct_etrangers,pct_actifs_marche,0.251,0.445,0.194
pct_petits_logements,pct_chauffage_gaz_ville,0.282,0.475,0.193
pct_femmes,pct_petits_logements,0.125,0.318,0.193
pct_chauffage_gaz_ville,pct_studios,0.274,0.466,0.193
pct_actifs_velo,pct_chauffage_gaz_ville,0.331,0.524,0.193
taille_menage_moy,pct_maison,-0.005,-0.197,0.192
taille_menage_moy,pct_petits_logements,0.026,0.218,0.192
pct_actifs_transports,pct_voiture_0,0.791,0.599,0.192
pct_csp_retraite,pct_voiture_0,-0.431,-0.239,0.192
taille_menage_moy,pct_appart,0.005,0.196,0.191
pct_etrangers,pct_csp_ouvrier,0.004,-0.187,0.191
pct_csp_plus,surface_moyenne,-0.306,-0.115,0.191
pct_sup5,surface_moyenne,-0.406,-0.216,0.191
pct_etudiants,pct_actifs_transports,0.368,0.56,0.191
pct_20_64,surface_moyenne,-0.421,-0.23,0.191
pct_immigres,DISP_TP6021,0.621,0.431,0.19
pct_locataires,bpe_D_sante_pour1000,0.266,0.456,0.19
pct_actifs_velo,pct_chauffage_autre,-0.409,-0.599,0.19
pct_csp_sans_emploi,DISP_RD21,0.274,0.464,0.19
pct_cdd,pct_etudiants,0.229,0.04,0.189
pct_sup5,nb_pieces_moyen,-0.466,-0.277,0.189
DISP_PTSA21,pct_actifs_voiture,-0.396,-0.208,0.188
DISP_RD21,DISP_PPMINI21,-0.045,0.144,0.188
DISP_MED21,pct_garage,0.27,0.458,0.188
DISP_MED21,DISP_PPSOC21,-0.751,-0.938,0.187
pct_65_plus,pct_voiture_0,-0.274,-0.087,0.187
pct_csp_agriculteur,pct_petits_logements,-0.232,-0.417,0.186
taille_menage_moy,DISP_RD21,0.008,0.193,0.186
DISP_MED21,DISP_PPMINI21,-0.72,-0.905,0.185
pct_immigres,DISP_PPMINI21,0.463,0.277,0.185
pct_hlm,pct_chauffage_elec,-0.37,-0.185,0.185
pct_chauffage_autre,pct_studios,-0.442,-0.628,0.185
pct_actifs_velo,pct_chauffage_gaz_bouteille,-0.296,-0.481,0.184
pct_actifs_transports,pct_chauffage_fioul,-0.417,-0.601,0.184
pct_chomage,pct_petits_logements,0.241,0.424,0.184
pct_csp_agriculteur,pct_chauffage_elec,-0.035,0.149,0.184
DISP_PPMINI21,pct_hlm,0.666,0.483,0.183
DISP_PACT21,pct_voiture_2plus,-0.088,0.093,0.182
pct_csp_sans_emploi,pct_inactif,0.8,0.618,0.182
pct_studios,bpe_D_sante_pour1000,0.22,0.402,0.182
DISP_RD21,pct_chauffage_fioul,-0.289,-0.471,0.182
taille_menage_moy,nb_pieces_moyen,-0.007,-0.189,0.182
taille_menage_moy,surface_moyenne,-0.009,-0.19,0.181
pct_csp_agriculteur,pct_chauffage_gaz_bouteille,0.339,0.519,0.18
pct_actifs_2roues,pct_chauffage_gaz_ville,0.101,0.281,0.18
pct_immigres,pct_interim,0.159,-0.021,0.18
pct_csp_agriculteur,pct_appart,-0.369,-0.549,0.18
DISP_PACT21,nb_pieces_moyen,-0.248,-0.07,0.179
pct_20_64,pct_voiture_2plus,-0.281,-0.102,0.179
pct_chauffage_autre,bpe_G_tourisme_pour1000,0.043,-0.134,0.178
