,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE
pct_etrangers,-0.10453119369340419,-0.42188972579299433,0.6514597197064155,-0.04027659263281596,-0.1329889682891296,0.03170014308280453,-0.05200350684881315,-0.022282677974398032,-0.18538417347482417,-0.18242460443649894
pct_immigres,-0.08528051919655615,-0.4623900359559756,0.6879567902941772,-0.01791759933408387,-0.1367231323012184,0.05737096642711174,-0.06331639432638203,-0.02455370521668977,-0.20576056345971294,-0.22178992996835853
age_moyen,0.02847392917876987,0.037933083940926565,-0.3165257018864199,0.12761507835287547,0.1916364545298288,-0.12006165548217992,0.15068234787709714,0.11970247568167915,0.08430019973272795,0.354840610993191
pct_femmes,0.15450572305395338,-0.2029689571917311,0.14929874719013894,0.04884224798843585,-0.030340006444935348,0.13669022735785172,0.006782750048190293,0.04079331698610384,-0.12925013509545938,-0.19420759565877876
taille_menage_moy,-0.0036637779394514385,-0.003353146149256497,0.0120878527640478,-0.004732495103332405,-0.004947362954273945,-6.192608917181952e-05,0.0010797552432279204,-0.003946246481475762,-0.006276720491264554,-0.005220330869984163
pct_hors_menage,0.04576107598670234,-0.09451558441069349,0.08164496703068275,0.011304002825784918,-0.016507522908812505,0.04503928973604993,0.003911969544412093,0.02834305231642025,-0.055653678316658406,-0.05867066084349385
ecart_csp_plus_hf,0.19148375632488493,-0.18970510494464937,0.05404180997582843,0.07858821494989626,0.03736478215919331,0.2000626588750226,-0.05104944492396822,0.003958332493491418,-0.05450447726393225,-0.151604372093223
pct_0_19,-0.07000440914334821,0.10203752278084396,0.1959465482949816,-0.14689722709024788,-0.17247590041833644,-0.03869599860438441,-0.11769806819442127,-0.1360064968855552,-0.02790362169658305,-0.27136278186321905
pct_20_64,0.020431789036442844,-0.1240233338293927,0.1972001126469831,-0.02762071930374601,-0.10195206862618106,0.24406545459579915,-0.10993621963951189,-0.032259671108698124,-0.049149025229154444,-0.1894775495673801
pct_65_plus,0.033504149130568345,0.014040095413598977,-0.2635007124820975,0.11733689167163283,0.18415102756637444,-0.13677754393368663,0.1525946256182826,0.11309887046937844,0.05157875840503069,0.3091279440431716
pct_csp_agriculteur,-0.08279369801452471,0.09255400942928259,-0.20411643003221516,-0.04358894297412127,0.2182412532528608,-0.17130137846289084,0.014559096328267396,0.007761333439181962,0.11900650134683179,0.35062010507432007
pct_csp_independant,-0.005387102565532796,-0.0269836364492566,-0.08733988379970656,0.1063120048344323,0.054796462375274066,0.03434355285193165,-0.008708960925618554,0.008365542423954687,0.04800769086417247,0.14068523307745495
pct_csp_plus,0.4318745719995096,-0.5190226003655694,0.16136606438790319,0.15823834126531658,0.15995722069989698,0.5175896568414995,-0.1203732345249995,0.04263786957960068,-0.1656130705496827,-0.2782836608701156
pct_csp_intermediaire,0.13552236680267535,-0.09254239741593782,0.008220901244299967,0.04525219630691584,-0.04006920301321429,0.2532025178718165,-0.06740435655284775,0.005553476728196083,0.004364952027259417,-0.14992397114346323
pct_csp_employe,-0.17702413235676392,0.14786751299240053,0.1164424560666048,-0.0693194583913275,-0.199818948927929,-0.12179973452728018,0.007973555124128492,-0.05172177428398483,-0.015281687987895465,-0.07650808495564689
pct_csp_ouvrier,-0.2618924343900838,0.47434445337061576,-0.13904231321765073,-0.18392084702810554,-0.13347256070555075,-0.33711149382034955,-0.017983460707198272,-0.11383943642733717,0.1467922784724468,0.022298453744522648
pct_csp_retraite,0.01940767201129161,0.1162006078085775,-0.3007211041900021,0.03897515974587292,0.13470587358909933,-0.1496370113560234,0.13219880555672237,0.08640826761593925,0.09390639144438533,0.2723298360753963
pct_csp_sans_emploi,-0.13616656048456782,-0.17983139853041205,0.4672479004267418,-0.046456281575182896,-0.19101675630064824,-0.01090999497288873,-0.01012414005606436,-0.033034282377635366,-0.19177380279611797,-0.219875377117362
DISP_MED21,0.5478582604795618,-0.2643571346538883,-0.2866546381668754,0.2885233350861405,0.32708696381263014,0.40646558503791813,-0.1690760882396152,-0.02306835165146082,0.028508380485715523,-0.18675529211698944
DISP_TP6021,-0.38148166457640126,-0.07820057229127537,0.5371001779895179,-0.1640314271878163,-0.24273420657838005,-0.238949318776064,0.07680638649802705,-0.015402858630831327,-0.16654703466257365,-0.01654242199818813
DISP_GI21,0.3157228817284098,-0.5403699727193498,0.2138484014616855,0.2744045256470875,0.1793932100083262,0.36166060803655303,-0.09516349331683105,0.02475299651863848,-0.18031773682289814,-0.16738281525340853
DISP_RD21,0.31257480747089544,-0.5108394255544078,0.2832101997315752,0.22116348018106788,0.11614628289956153,0.3272739174570249,-0.10833751157457144,0.0030425908414007663,-0.2159755692659707,-0.2809703771667045
DISP_S80S2021,0.15379455666976194,-0.2813929198176856,-0.013410772876671683,0.21991518612505362,0.27286031312140535,0.12211564156375572,-0.08172306620196688,0.0007994508872534081,-0.03522245231351081,0.09313063406019331
DISP_PTSA21,0.23156078581072126,-0.25140547303841215,0.1970202043350631,-0.009156175580675378,-0.01719778957532125,0.33907401331928416,-0.14648094422101474,-0.05279886480637544,-0.08332736714665981,-0.33000043545517477
DISP_PPAT21,0.375084477236034,-0.20162203800022824,-0.2557215077704902,0.32480245214788594,0.2954145811679824,0.21458911518178073,-0.12043639734450207,-0.01713425967346854,0.02259810555911218,-0.037493922232411436
DISP_PPEN21,-0.01704365781462968,0.0896195308855472,-0.23085193833402928,0.0424783051433596,0.09083209376595178,-0.18009253386408589,0.18501693336276154,0.11635209553531499,0.04474295622534316,0.2600528599427809
DISP_PPSOC21,-0.4118543597091653,0.014271049981975004,0.49358064834458193,-0.2251312493395337,-0.2775626317959268,-0.287641216311453,0.09128629655949938,-0.0173560228169021,-0.14326477647966232,-0.0027535135623702727
