,LD1,LD2,LD3
pct_etrangers,-0.16151274399087284,0.3547035332934943,-0.4989332673772433
pct_immigres,0.27446354922573496,-0.034951534352944916,0.9714076393220853
age_moyen,-0.2779864896801963,0.6180364648240309,-0.10153310888860843
pct_femmes,0.0587361457415301,-0.06476140263234433,0.01788604379917686
taille_menage_moy,0.030189442039711988,-0.0005112394066471486,0.02026458211429532
pct_hors_menage,-0.004618559808417161,0.07466906779129286,0.027172897308086044
ecart_csp_plus_hf,0.007702916354086345,-0.0003978856815985077,-0.03252365100451989
pct_0_19,0.09752876759150325,0.25096296344951335,-0.024094451551562934
pct_20_64,0.02691186128776908,-0.06665903696620444,0.08379644513503968
pct_65_plus,-0.08570590381525123,-0.1273729000356617,-0.04082743521932731
pct_csp_agriculteur,-2.065932744276896,-1.0269530520302792,-3.4981554094073233
pct_csp_independant,-1.2845885390669975,-0.8816130182099945,-2.7313907639384363
pct_csp_plus,-2.927826865254071,-1.9662998732143837,-6.27360881855168
pct_csp_intermediaire,-2.379157286210077,-1.6376618544307557,-4.999948183553471
pct_csp_employe,-2.137000223920554,-1.5616086587490248,-4.680005333734149
pct_csp_ouvrier,-2.6767682836016915,-1.9315634589383002,-5.920745207632821
pct_csp_retraite,-4.130299327184117,-2.866295786036292,-8.932477142350741
pct_csp_sans_emploi,-2.9776379031567792,-2.1417330472990996,-6.190021132775541
DISP_MED21,0.02518790886396637,0.08635883762766006,-0.31893674696257296
DISP_TP6021,-0.16575225794820275,-0.5454885767758596,0.07439299163573322
DISP_GI21,0.09445414668220027,0.24030299963606938,0.09187849501142206
DISP_RD21,-0.07638584845309483,-0.19496511871470645,-0.09687239239868764
DISP_S80S2021,-0.06199753585842581,-0.007645383499763802,0.02243084360947361
DISP_PTSA21,-0.4270344851601017,0.12283274466592932,-0.2129317920758504
DISP_PPAT21,-0.01450897057957539,-0.019662129758050696,0.015484570866461048
DISP_PPEN21,-0.0556877866051239,0.14080811091429934,0.05600837559343397
DISP_PPSOC21,-0.4210203223423249,-0.3056280472583447,-0.13385667901147566
DISP_PCHO21,-0.1113783615199891,-0.151111704346175,0.20898870839840794
DISP_PPFAM21,0.10622854830102837,0.2090973243964713,0.2290135702179419
DISP_PPLOGT21,0.17499767201953073,0.744168940086235,0.32185800811822846
DISP_PPMINI21,0.22681845181439755,0.0054757910485461,-0.47531031263874746
DISP_PIMPOT21,-0.17308877381934953,-0.0744483026103251,0.33342003396973224
DISP_PACT21,0.20731006207360353,-0.147472939736595,0.27577231631967697
pct_sup5,-0.03785702678700498,-0.310967397373981,-0.33411244612325663
pct_sans_diplome,0.05052964127674346,-0.12910366465013695,-0.05574798371740179
pct_capbep,0.062010794153324326,-0.09931247292123266,-0.10430410001820747
pct_bac_plus,0.3231026908294991,0.8473232096519795,0.6678798782699007
pct_chomage,0.2262738373824594,-0.20499975224207548,0.16694287574299266
pct_cdi,6.590381101088355e-05,0.07221697415411571,0.06529333085328842
pct_cdd,0.14714031540473763,0.076466668855772,0.1317323739687911
pct_interim,0.0007948772785068809,0.06714178224791638,0.02044502461241965
pct_temps_partiel,-0.02926479681243212,0.12196637527132408,0.16450296711006418
pct_inactif,0.08054328446248826,-0.029724981306531974,0.030167435085020105
pct_etudiants,-0.12843018248173513,0.03158450427429559,0.018484128869622238
pct_actifs_voiture,-0.008864899436184287,-0.07996953316520948,-0.014626797899201894
pct_actifs_transports,0.0461473029344173,0.006617237534837383,0.2760198967850247
pct_actifs_velo,0.05125498766940421,0.009391975416789142,0.15366961246289831
pct_actifs_2roues,0.0380685719209554,-0.0009309606414937224,-0.04286883188978686
pct_actifs_marche,0.1152047490586028,0.04335045319808776,-0.017294893182953883
pct_proprietaires,1.2959634191932683,0.5789945402087217,0.19769711876576512
pct_locataires,1.079524024893151,0.7586821496780353,0.05888113993915992
pct_hlm,0.21720086250290363,0.1749199207952625,0.06755588555660101
pct_logvac,0.13382080533904125,-0.028376518926238648,-0.04374224050716119
pct_maison,0.5494704332743179,0.3536001158040796,-0.0867995482264328
pct_appart,-0.5864844986379463,0.40667749984600454,-0.3025644912187139
pct_petits_logements,0.09543060764091221,-0.028089390020203466,0.02019016791850283
pct_grands_logements,-0.29487881997740867,0.2947982718065232,-0.006891842692397016
pct_logements_anciens,-0.15726548466128498,0.058900153976243506,-0.023409867325149988
pct_logements_recents,-0.09077694005676708,0.092720068470509,-0.012095430462684914
pct_voiture_0,-0.227988950883541,-0.1975225532769781,-0.03540608447685791
pct_voiture_2plus,-0.21405075159722126,-0.1508772721745756,0.02157349988992965
surface_moyenne,0.8780073724381708,-0.8063855277013451,0.03465633602568845
pct_suroccupation,-0.04188947942265297,0.009468335816618049,0.04012693304891568
pct_chauffage_elec,0.5792262208259686,-0.6840773452903903,0.049138586586179
pct_chauffage_fioul,1.117052824114831,-0.44550506708660387,0.1076428195317948
pct_chauffage_gaz_ville,1.2487694999701113,-1.1216866909553336,0.2658866465587664
pct_chauffage_gaz_bouteille,-0.09568736887071529,-0.09687392773155161,0.03427071678001955
pct_chauffage_autre,0.6905969371834917,-1.0607463072680057,0.36129952889469164
pct_garage,0.08163419507180791,0.10510260511882079,-0.10920624129359567
nb_pieces_moyen,-1.8307982194588728,0.1152100195199196,-0.2830006125669639
pct_studios,-0.04976145416062838,-0.03752124883381364,-0.10324603970980968
pct_logements_5p_plus,0.38549617423485905,0.43106315997096883,-0.09920010732374294
bpe_total_pour1000,-0.02048877424285088,0.039638680584855,0.10494647256776159
bpe_A_services_pour1000,-0.008544191212735535,-0.059923079057285666,-0.036438389016926025
bpe_B_commerces_pour1000,0.060126298425033045,0.09546153484517338,-0.07125429707488917
bpe_C_enseignement_pour1000,-0.0010865821729185913,-0.05149260928158701,0.02443549605409355
bpe_D_sante_pour1000,0.017359556450536252,-0.016850426470600265,-0.044885759691616255
bpe_E_transports_pour1000,-0.06934842137490548,-0.008763051635441244,0.08792933220622279
bpe_F_sports_culture_pour1000,-0.24943709614330806,0.0074559134992682585,0.014857331800480472
bpe_G_tourisme_pour1000,-0.00382566426591638,0.07744559283979628,-0.014157074673025604
bpe_educ_prioritaire_pour1000,-0.03290367297224337,0.031958823290487035,0.06763683743789002
bpe_ecole_privee_pour1000,-0.013561951214752514,0.11933761790151343,-0.038010420582247545
bpe_sport_indoor_pour1000,-0.03523183319023097,0.016597427519454144,-0.013619388409017334
pct_sport_accessible,-0.0781117198622284,0.01985602301956416,-0.038474245716936924
