var1,var2,MI,MI_norm,r2,gap_MI_r2
DISP_PCHO21,pct_chauffage_gaz_ville,0.2926,0.0812,0.0333,0.0479
DISP_TP6021,pct_actifs_2roues,0.1747,0.0485,0.0007,0.0477
pct_hlm,bpe_C_enseignement_pour1000,0.1711,0.0475,0.0006,0.0469
pct_interim,bpe_C_enseignement_pour1000,0.1709,0.0474,0.0006,0.0468
DISP_PACT21,pct_voiture_2plus,0.1874,0.052,0.0054,0.0466
pct_csp_independant,pct_suroccupation,0.1764,0.0489,0.0027,0.0462
pct_csp_employe,bpe_C_enseignement_pour1000,0.1657,0.046,0.0,0.046
pct_chauffage_autre,bpe_sport_indoor_pour1000,0.1899,0.0527,0.0074,0.0453
pct_csp_intermediaire,bpe_C_enseignement_pour1000,0.165,0.0458,0.0007,0.0451
bpe_D_sante_pour1000,bpe_E_transports_pour1000,0.1976,0.0548,0.0098,0.0451
DISP_PIMPOT21,pct_voiture_2plus,0.1775,0.0493,0.0041,0.0451
pct_csp_agriculteur,DISP_TP6021,0.1638,0.0455,0.0004,0.045
pct_cdd,pct_interim,0.1662,0.0461,0.0015,0.0446
pct_actifs_velo,bpe_C_enseignement_pour1000,0.1646,0.0457,0.0013,0.0444
DISP_MED21,pct_chauffage_gaz_ville,0.1605,0.0445,0.0004,0.0441
pct_actifs_velo,pct_actifs_2roues,0.223,0.0619,0.0177,0.0441
pct_csp_intermediaire,bpe_D_sante_pour1000,0.1587,0.044,0.0003,0.0437
pct_studios,bpe_C_enseignement_pour1000,0.1963,0.0545,0.0109,0.0436
DISP_TP6021,DISP_RD21,0.228,0.0633,0.0198,0.0435
pct_chauffage_gaz_ville,bpe_sport_indoor_pour1000,0.1587,0.044,0.0008,0.0432
bpe_E_transports_pour1000,bpe_F_sports_culture_pour1000,0.2193,0.0609,0.0177,0.0432
pct_csp_independant,bpe_B_commerces_pour1000,0.1716,0.0476,0.0048,0.0429
ecart_csp_plus_hf,DISP_S80S2021,0.1538,0.0427,0.0002,0.0425
pct_actifs_marche,bpe_C_enseignement_pour1000,0.2029,0.0563,0.014,0.0423
DISP_PTSA21,pct_voiture_2plus,0.1733,0.0481,0.0059,0.0421
pct_csp_ouvrier,bpe_C_enseignement_pour1000,0.1503,0.0417,0.0001,0.0416
DISP_S80S2021,bpe_F_sports_culture_pour1000,0.1769,0.0491,0.0077,0.0414
DISP_TP6021,DISP_S80S2021,0.1531,0.0425,0.0011,0.0414
DISP_RD21,bpe_sport_indoor_pour1000,0.1488,0.0413,0.0,0.0413
pct_studios,bpe_sport_indoor_pour1000,0.1488,0.0413,0.0,0.0413
pct_hlm,bpe_B_commerces_pour1000,0.1582,0.0439,0.0029,0.041
pct_csp_intermediaire,pct_csp_ouvrier,0.2764,0.0767,0.0359,0.0408
DISP_PCHO21,pct_actifs_2roues,0.1593,0.0442,0.0035,0.0407
pct_csp_employe,bpe_D_sante_pour1000,0.1462,0.0406,0.0,0.0406
pct_actifs_2roues,pct_actifs_marche,0.173,0.048,0.0075,0.0405
DISP_TP6021,bpe_F_sports_culture_pour1000,0.1461,0.0405,0.0001,0.0404
DISP_PCHO21,pct_chauffage_gaz_bouteille,0.1893,0.0525,0.0122,0.0403
pct_csp_employe,pct_suroccupation,0.1465,0.0407,0.0003,0.0403
DISP_S80S2021,DISP_PPLOGT21,0.1546,0.0429,0.0033,0.0396
pct_csp_plus,pct_csp_intermediaire,0.3871,0.1074,0.0679,0.0396
bpe_C_enseignement_pour1000,pct_sport_accessible,0.1614,0.0448,0.0054,0.0394
pct_csp_intermediaire,pct_chauffage_gaz_ville,0.1541,0.0428,0.0034,0.0393
DISP_PPAT21,pct_voiture_0,0.1454,0.0404,0.0011,0.0393
DISP_TP6021,pct_actifs_velo,0.1724,0.0479,0.0087,0.0392
pct_chauffage_gaz_bouteille,bpe_C_enseignement_pour1000,0.1411,0.0392,0.0,0.0391
pct_65_plus,pct_voiture_2plus,0.1418,0.0394,0.0003,0.039
ecart_csp_plus_hf,pct_csp_independant,0.1515,0.042,0.0032,0.0389
DISP_PPEN21,pct_voiture_2plus,0.143,0.0397,0.001,0.0387
DISP_PTSA21,bpe_D_sante_pour1000,0.1392,0.0386,0.0001,0.0385
pct_petits_logements,bpe_C_enseignement_pour1000,0.1671,0.0464,0.008,0.0384
DISP_PPAT21,surface_moyenne,0.17,0.0472,0.0091,0.0381
pct_csp_agriculteur,bpe_sport_indoor_pour1000,0.1564,0.0434,0.0054,0.038
pct_actifs_2roues,pct_hlm,0.1537,0.0426,0.0047,0.038
pct_csp_independant,DISP_PCHO21,0.1506,0.0418,0.0039,0.0379
pct_suroccupation,bpe_sport_indoor_pour1000,0.1361,0.0378,0.0001,0.0376
pct_csp_independant,bpe_sport_indoor_pour1000,0.1368,0.038,0.0004,0.0375
pct_interim,bpe_D_sante_pour1000,0.1351,0.0375,0.0,0.0374
DISP_PCHO21,bpe_B_commerces_pour1000,0.165,0.0458,0.0086,0.0372
pct_actifs_velo,bpe_sport_indoor_pour1000,0.1339,0.0372,0.0,0.0371
pct_csp_independant,pct_actifs_marche,0.1397,0.0388,0.0016,0.0371
ecart_csp_plus_hf,pct_hlm,0.1372,0.0381,0.001,0.0371
DISP_PIMPOT21,pct_locataires,0.1347,0.0374,0.0004,0.037
DISP_PPAT21,nb_pieces_moyen,0.1367,0.0379,0.0011,0.0369
pct_csp_intermediaire,bpe_B_commerces_pour1000,0.1383,0.0384,0.0016,0.0368
DISP_PPAT21,pct_proprietaires,0.1798,0.0499,0.0131,0.0368
pct_actifs_2roues,bpe_D_sante_pour1000,0.1763,0.0489,0.0121,0.0368
DISP_PPAT21,pct_logements_anciens,0.1588,0.0441,0.0073,0.0367
DISP_RD21,DISP_PPMINI21,0.1424,0.0395,0.0029,0.0366
pct_chauffage_fioul,bpe_C_enseignement_pour1000,0.1315,0.0365,0.0002,0.0363
DISP_PPAT21,pct_chauffage_fioul,0.1452,0.0403,0.0041,0.0362
pct_hlm,bpe_sport_indoor_pour1000,0.1349,0.0374,0.0013,0.0362
pct_csp_independant,pct_actifs_2roues,0.131,0.0364,0.0003,0.0361
DISP_PPAT21,pct_voiture_2plus,0.1429,0.0397,0.0037,0.036
pct_interim,pct_actifs_transports,0.1369,0.038,0.002,0.036
pct_actifs_2roues,bpe_sport_indoor_pour1000,0.1348,0.0374,0.0015,0.036
pct_logements_anciens,bpe_B_commerces_pour1000,0.1499,0.0416,0.0057,0.0359
pct_immigres,DISP_PPAT21,0.1381,0.0383,0.0026,0.0357
pct_actifs_marche,pct_logements_anciens,0.1344,0.0373,0.0016,0.0357
pct_csp_retraite,bpe_C_enseignement_pour1000,0.1314,0.0365,0.001,0.0355
pct_csp_employe,bpe_B_commerces_pour1000,0.1284,0.0356,0.0001,0.0355
ecart_csp_plus_hf,pct_suroccupation,0.1505,0.0418,0.0063,0.0355
pct_actifs_2roues,pct_suroccupation,0.1745,0.0484,0.013,0.0355
pct_actifs_2roues,bpe_F_sports_culture_pour1000,0.1665,0.0462,0.0108,0.0354
pct_actifs_marche,bpe_F_sports_culture_pour1000,0.1278,0.0355,0.0002,0.0353
pct_csp_agriculteur,DISP_PPFAM21,0.1272,0.0353,0.0001,0.0352
pct_csp_intermediaire,pct_suroccupation,0.127,0.0352,0.0001,0.0352
DISP_PIMPOT21,pct_garage,0.1299,0.036,0.0008,0.0352
pct_csp_sans_emploi,bpe_C_enseignement_pour1000,0.1698,0.0471,0.012,0.0351
pct_csp_retraite,bpe_D_sante_pour1000,0.128,0.0355,0.0005,0.0351
DISP_PIMPOT21,surface_moyenne,0.1511,0.0419,0.0068,0.0351
pct_csp_plus,pct_hlm,0.1261,0.035,0.0,0.035
ecart_csp_plus_hf,bpe_sport_indoor_pour1000,0.126,0.035,0.0001,0.0349
DISP_PIMPOT21,pct_chauffage_gaz_ville,0.1924,0.0534,0.0185,0.0349
DISP_S80S2021,pct_suroccupation,0.1922,0.0534,0.0186,0.0347
pct_etrangers,DISP_PPAT21,0.1375,0.0382,0.0036,0.0346
DISP_PCHO21,pct_actifs_velo,0.1746,0.0485,0.0141,0.0343
pct_actifs_transports,bpe_sport_indoor_pour1000,0.1433,0.0398,0.0054,0.0343
DISP_PPFAM21,pct_actifs_transports,0.1761,0.0489,0.0146,0.0343
ecart_csp_plus_hf,pct_csp_employe,0.1229,0.0341,0.0001,0.034
ecart_csp_plus_hf,bpe_B_commerces_pour1000,0.1288,0.0357,0.0018,0.034
DISP_PPFAM21,pct_logements_anciens,0.1811,0.0503,0.0163,0.0339
pct_etrangers,DISP_PIMPOT21,0.122,0.0338,0.0,0.0338
pct_csp_agriculteur,DISP_PPLOGT21,0.1409,0.0391,0.0053,0.0338
DISP_PIMPOT21,pct_proprietaires,0.1218,0.0338,0.0001,0.0337
DISP_MED21,pct_appart,0.1224,0.034,0.0004,0.0336
pct_temps_partiel,bpe_C_enseignement_pour1000,0.1314,0.0365,0.0029,0.0335
ecart_csp_plus_hf,bpe_D_sante_pour1000,0.1593,0.0442,0.0107,0.0335
pct_csp_retraite,bpe_B_commerces_pour1000,0.123,0.0341,0.0008,0.0334
age_moyen,pct_voiture_2plus,0.1325,0.0368,0.0034,0.0334
DISP_PPSOC21,pct_capbep,0.1228,0.0341,0.0006,0.0334
DISP_PPAT21,pct_suroccupation,0.1252,0.0348,0.0015,0.0333
DISP_PTSA21,bpe_B_commerces_pour1000,0.127,0.0353,0.0019,0.0333
pct_actifs_2roues,bpe_B_commerces_pour1000,0.1334,0.037,0.004,0.033
DISP_PPAT21,pct_locataires,0.182,0.0505,0.0176,0.0329
pct_temps_partiel,bpe_D_sante_pour1000,0.1194,0.0331,0.0002,0.0329
pct_csp_agriculteur,DISP_PPAT21,0.1188,0.033,0.0,0.0329
pct_actifs_velo,bpe_E_transports_pour1000,0.1379,0.0383,0.0055,0.0327
DISP_PPFAM21,pct_capbep,0.2015,0.0559,0.0235,0.0325
