var1,var2,MI,MI_norm,r2,gap_MI_r2
pct_garage,pct_sport_accessible,0.0415,0.0115,0.0006,0.0109
pct_0_19,surface_moyenne,0.0416,0.0116,0.0007,0.0109
pct_csp_sans_emploi,pct_bac_plus,0.0412,0.0114,0.0005,0.0109
DISP_PPAT21,bpe_sport_indoor_pour1000,0.0406,0.0113,0.0004,0.0109
DISP_PACT21,pct_logements_5p_plus,0.1312,0.0364,0.0257,0.0108
pct_20_64,bpe_D_sante_pour1000,0.039,0.0108,0.0,0.0108
pct_csp_ouvrier,DISP_PPMINI21,0.0984,0.0273,0.0165,0.0108
pct_interim,pct_appart,0.0548,0.0152,0.0044,0.0108
DISP_PPEN21,DISP_PPMINI21,0.0552,0.0153,0.0045,0.0108
pct_etrangers,DISP_PACT21,0.1186,0.0329,0.0221,0.0108
pct_hors_menage,DISP_PPFAM21,0.0388,0.0108,0.0001,0.0107
pct_bac_plus,bpe_C_enseignement_pour1000,0.0383,0.0106,0.0,0.0106
pct_voiture_2plus,bpe_A_services_pour1000,0.0422,0.0117,0.0011,0.0106
age_moyen,bpe_D_sante_pour1000,0.0408,0.0113,0.0008,0.0105
DISP_MED21,pct_logements_5p_plus,0.1264,0.0351,0.0246,0.0105
pct_inactif,bpe_sport_indoor_pour1000,0.0519,0.0144,0.0039,0.0105
pct_etrangers,pct_sport_accessible,0.0401,0.0111,0.0006,0.0105
taille_menage_moy,pct_csp_retraite,0.0451,0.0125,0.0021,0.0104
pct_csp_retraite,pct_inactif,0.0624,0.0173,0.007,0.0104
pct_femmes,pct_cdd,0.0393,0.0109,0.0005,0.0104
taille_menage_moy,bpe_ecole_privee_pour1000,0.0408,0.0113,0.001,0.0104
pct_etrangers,pct_logements_recents,0.0748,0.0208,0.0103,0.0104
pct_csp_employe,pct_maison,0.0658,0.0182,0.0078,0.0104
taille_menage_moy,pct_proprietaires,0.0789,0.0219,0.0115,0.0104
pct_cdd,pct_hlm,0.1182,0.0328,0.0224,0.0104
pct_csp_ouvrier,pct_logements_recents,0.0383,0.0106,0.0002,0.0104
pct_csp_independant,DISP_PIMPOT21,0.0654,0.0181,0.0079,0.0103
DISP_PCHO21,pct_capbep,0.078,0.0216,0.0113,0.0103
DISP_PPAT21,pct_petits_logements,0.0742,0.0206,0.0103,0.0103
pct_actifs_2roues,bpe_total_pour1000,0.0412,0.0114,0.0011,0.0103
pct_hors_menage,pct_temps_partiel,0.0383,0.0106,0.0003,0.0103
pct_csp_agriculteur,DISP_S80S2021,0.1785,0.0495,0.0393,0.0102
pct_voiture_0,bpe_A_services_pour1000,0.0374,0.0104,0.0001,0.0102
pct_65_plus,DISP_PPSOC21,0.0478,0.0133,0.003,0.0102
pct_csp_sans_emploi,DISP_PTSA21,0.059,0.0164,0.0062,0.0102
pct_csp_independant,pct_chauffage_autre,0.1392,0.0386,0.0284,0.0102
taille_menage_moy,bpe_sport_indoor_pour1000,0.0523,0.0145,0.0043,0.0102
pct_sans_diplome,pct_voiture_0,0.1194,0.0331,0.023,0.0102
pct_immigres,pct_logements_recents,0.0724,0.0201,0.0099,0.0102
pct_hlm,pct_suroccupation,0.2055,0.057,0.047,0.0101
pct_csp_retraite,pct_cdi,0.0368,0.0102,0.0001,0.0101
pct_bac_plus,pct_hlm,0.0587,0.0163,0.0062,0.0101
taille_menage_moy,pct_petits_logements,0.0778,0.0216,0.0115,0.0101
pct_sans_diplome,pct_appart,0.0377,0.0105,0.0005,0.01
DISP_MED21,bpe_total_pour1000,0.045,0.0125,0.0025,0.01
pct_inactif,bpe_E_transports_pour1000,0.0433,0.012,0.002,0.01
pct_csp_retraite,DISP_TP6021,0.0579,0.0161,0.006,0.01
pct_chauffage_autre,pct_sport_accessible,0.1099,0.0305,0.0205,0.01
pct_hors_menage,DISP_TP6021,0.0675,0.0187,0.0088,0.01
pct_csp_sans_emploi,pct_logements_recents,0.0501,0.0139,0.0039,0.01
pct_femmes,DISP_PPAT21,0.0407,0.0113,0.0013,0.01
DISP_PCHO21,pct_suroccupation,0.1685,0.0468,0.0369,0.0099
pct_csp_ouvrier,pct_cdd,0.0401,0.0111,0.0012,0.0099
pct_femmes,bpe_E_transports_pour1000,0.0766,0.0212,0.0114,0.0099
pct_interim,pct_maison,0.0526,0.0146,0.0047,0.0099
pct_hors_menage,DISP_RD21,0.0956,0.0265,0.0166,0.0099
DISP_PPEN21,pct_garage,0.0487,0.0135,0.0036,0.0099
pct_temps_partiel,pct_actifs_transports,0.1127,0.0313,0.0213,0.0099
pct_sans_diplome,nb_pieces_moyen,0.0548,0.0152,0.0054,0.0098
pct_sans_diplome,pct_actifs_voiture,0.0374,0.0104,0.0005,0.0098
pct_temps_partiel,pct_locataires,0.0387,0.0107,0.0009,0.0098
pct_actifs_velo,pct_logements_anciens,0.1833,0.0509,0.0411,0.0098
DISP_PPSOC21,pct_suroccupation,0.0947,0.0263,0.0166,0.0097
DISP_GI21,pct_hlm,0.0616,0.0171,0.0074,0.0097
DISP_MED21,bpe_sport_indoor_pour1000,0.0403,0.0112,0.0015,0.0097
DISP_PCHO21,pct_logements_recents,0.0781,0.0217,0.0119,0.0097
DISP_PPFAM21,bpe_sport_indoor_pour1000,0.0356,0.0099,0.0001,0.0097
pct_actifs_2roues,pct_studios,0.1531,0.0425,0.0328,0.0097
pct_20_64,pct_cdi,0.0345,0.0096,0.0,0.0096
ecart_csp_plus_hf,pct_csp_agriculteur,0.1276,0.0354,0.0259,0.0095
pct_grands_logements,bpe_A_services_pour1000,0.038,0.0105,0.0011,0.0095
DISP_S80S2021,surface_moyenne,0.0589,0.0163,0.007,0.0094
pct_temps_partiel,pct_actifs_marche,0.0797,0.0221,0.0128,0.0094
ecart_csp_plus_hf,surface_moyenne,0.074,0.0205,0.0111,0.0094
pct_logements_recents,pct_logements_5p_plus,0.0807,0.0224,0.013,0.0094
pct_femmes,DISP_PPFAM21,0.0356,0.0099,0.0004,0.0094
pct_chauffage_elec,pct_sport_accessible,0.034,0.0094,0.0,0.0094
DISP_PPMINI21,pct_logements_anciens,0.0956,0.0265,0.0171,0.0094
DISP_PPSOC21,bpe_sport_indoor_pour1000,0.0355,0.0099,0.0005,0.0094
DISP_PPLOGT21,pct_sup5,0.0924,0.0256,0.0163,0.0094
DISP_MED21,pct_studios,0.0889,0.0247,0.0154,0.0093
taille_menage_moy,pct_chauffage_fioul,0.0495,0.0137,0.0044,0.0093
surface_moyenne,bpe_F_sports_culture_pour1000,0.1445,0.0401,0.0308,0.0093
pct_0_19,bpe_sport_indoor_pour1000,0.0343,0.0095,0.0003,0.0093
pct_actifs_voiture,pct_sport_accessible,0.0334,0.0093,0.0,0.0093
pct_csp_employe,pct_cdd,0.0393,0.0109,0.0016,0.0093
pct_65_plus,pct_garage,0.0475,0.0132,0.0039,0.0093
pct_csp_ouvrier,pct_chauffage_gaz_bouteille,0.0522,0.0145,0.0052,0.0093
DISP_MED21,bpe_G_tourisme_pour1000,0.0334,0.0093,0.0,0.0092
pct_hors_menage,pct_chauffage_gaz_bouteille,0.0644,0.0179,0.0086,0.0092
taille_menage_moy,pct_20_64,0.0404,0.0112,0.002,0.0092
DISP_PPSOC21,bpe_E_transports_pour1000,0.0655,0.0182,0.0091,0.0091
pct_actifs_transports,pct_actifs_2roues,0.2162,0.06,0.0509,0.0091
pct_0_19,pct_csp_plus,0.038,0.0105,0.0016,0.009
pct_csp_independant,pct_logements_recents,0.0483,0.0134,0.0045,0.009
DISP_TP6021,pct_capbep,0.0546,0.0151,0.0061,0.009
pct_logements_5p_plus,bpe_G_tourisme_pour1000,0.0906,0.0252,0.0163,0.0089
DISP_GI21,bpe_F_sports_culture_pour1000,0.0464,0.0129,0.004,0.0089
pct_femmes,pct_csp_intermediaire,0.0323,0.009,0.0,0.0089
pct_locataires,bpe_A_services_pour1000,0.039,0.0108,0.0019,0.0089
pct_sans_diplome,pct_maison,0.0343,0.0095,0.0006,0.0089
pct_hlm,bpe_ecole_privee_pour1000,0.0486,0.0135,0.0045,0.0089
ecart_csp_plus_hf,pct_temps_partiel,0.0732,0.0203,0.0116,0.0088
DISP_S80S2021,DISP_PPSOC21,0.0689,0.0191,0.0103,0.0088
pct_chomage,pct_chauffage_elec,0.0614,0.017,0.0082,0.0088
pct_chauffage_elec,bpe_sport_indoor_pour1000,0.0461,0.0128,0.004,0.0088
pct_femmes,pct_logements_recents,0.0451,0.0125,0.0037,0.0088
pct_csp_employe,DISP_PPMINI21,0.0782,0.0217,0.013,0.0087
DISP_RD21,pct_logements_recents,0.0714,0.0198,0.0111,0.0087
pct_interim,pct_logements_recents,0.0481,0.0133,0.0046,0.0087
DISP_PPLOGT21,bpe_E_transports_pour1000,0.0864,0.024,0.0153,0.0087
pct_chauffage_fioul,bpe_A_services_pour1000,0.0352,0.0098,0.0011,0.0087
pct_65_plus,pct_grands_logements,0.0581,0.0161,0.0074,0.0087
pct_hors_menage,bpe_A_services_pour1000,0.0391,0.0108,0.0022,0.0087
pct_actifs_voiture,pct_chauffage_elec,0.0359,0.01,0.0013,0.0087
pct_csp_plus,bpe_D_sante_pour1000,0.1583,0.0439,0.0352,0.0087
nb_pieces_moyen,bpe_F_sports_culture_pour1000,0.1544,0.0429,0.0343,0.0086
pct_csp_intermediaire,surface_moyenne,0.0401,0.0111,0.0025,0.0086
pct_etrangers,taille_menage_moy,0.0463,0.0128,0.0043,0.0086
DISP_PPLOGT21,bpe_C_enseignement_pour1000,0.0611,0.017,0.0084,0.0086
pct_actifs_2roues,bpe_ecole_privee_pour1000,0.0371,0.0103,0.0018,0.0085
pct_immigres,pct_temps_partiel,0.0353,0.0098,0.0013,0.0085
pct_csp_plus,pct_grands_logements,0.0875,0.0243,0.0158,0.0085
pct_csp_independant,pct_capbep,0.0308,0.0086,0.0,0.0085
pct_hlm,pct_studios,0.1911,0.053,0.0445,0.0085
pct_csp_intermediaire,nb_pieces_moyen,0.0329,0.0091,0.0006,0.0085
pct_65_plus,bpe_B_commerces_pour1000,0.0409,0.0113,0.0029,0.0085
ecart_csp_plus_hf,DISP_RD21,0.1491,0.0414,0.033,0.0084
age_moyen,pct_actifs_marche,0.0346,0.0096,0.0012,0.0084
pct_cdi,pct_chauffage_autre,0.0375,0.0104,0.002,0.0084
pct_actifs_voiture,bpe_G_tourisme_pour1000,0.0522,0.0145,0.0061,0.0084
bpe_E_transports_pour1000,bpe_ecole_privee_pour1000,0.0305,0.0085,0.0,0.0084
pct_csp_agriculteur,DISP_PIMPOT21,0.1022,0.0284,0.02,0.0084
pct_hors_menage,pct_csp_intermediaire,0.0687,0.0191,0.0107,0.0084
pct_csp_intermediaire,DISP_GI21,0.0333,0.0092,0.0009,0.0084
taille_menage_moy,DISP_PPMINI21,0.0339,0.0094,0.001,0.0084
pct_hors_menage,pct_csp_agriculteur,0.0615,0.0171,0.0087,0.0083
pct_csp_ouvrier,DISP_PCHO21,0.1154,0.032,0.0237,0.0083
taille_menage_moy,pct_csp_ouvrier,0.0482,0.0134,0.0051,0.0083
taille_menage_moy,pct_sup5,0.0359,0.01,0.0017,0.0083
pct_csp_ouvrier,pct_temps_partiel,0.0298,0.0083,0.0,0.0083
pct_65_plus,DISP_PPLOGT21,0.0509,0.0141,0.0058,0.0083
pct_20_64,bpe_B_commerces_pour1000,0.0502,0.0139,0.0056,0.0083
pct_65_plus,pct_chomage,0.0295,0.0082,0.0,0.0082
pct_sans_diplome,bpe_D_sante_pour1000,0.0309,0.0086,0.0004,0.0082
pct_csp_independant,DISP_PTSA21,0.0867,0.024,0.0158,0.0082
DISP_PCHO21,bpe_ecole_privee_pour1000,0.0295,0.0082,0.0,0.0082
DISP_TP6021,pct_sport_accessible,0.0303,0.0084,0.0003,0.0081
pct_hors_menage,DISP_PPAT21,0.0342,0.0095,0.0014,0.0081
pct_sans_diplome,pct_actifs_marche,0.0539,0.015,0.0069,0.0081
pct_csp_employe,pct_chauffage_gaz_bouteille,0.0373,0.0104,0.0022,0.0081
pct_cdd,pct_suroccupation,0.079,0.0219,0.014,0.008
pct_sans_diplome,pct_chauffage_fioul,0.0367,0.0102,0.0022,0.008
pct_csp_intermediaire,pct_locataires,0.0401,0.0111,0.0031,0.008
pct_etrangers,bpe_F_sports_culture_pour1000,0.1321,0.0367,0.0287,0.008
surface_moyenne,bpe_A_services_pour1000,0.0318,0.0088,0.0009,0.008
DISP_MED21,pct_sport_accessible,0.0291,0.0081,0.0001,0.008
taille_menage_moy,pct_garage,0.0341,0.0095,0.0015,0.008
pct_interim,pct_actifs_voiture,0.0375,0.0104,0.0024,0.008
DISP_RD21,pct_logvac,0.0289,0.008,0.0,0.008
pct_20_64,bpe_C_enseignement_pour1000,0.0285,0.0079,0.0,0.0079
DISP_PPMINI21,bpe_B_commerces_pour1000,0.069,0.0192,0.0113,0.0079
bpe_F_sports_culture_pour1000,bpe_ecole_privee_pour1000,0.0402,0.0112,0.0032,0.0079
pct_csp_independant,bpe_ecole_privee_pour1000,0.034,0.0094,0.0016,0.0079
pct_suroccupation,pct_chauffage_elec,0.0547,0.0152,0.0073,0.0079
pct_20_64,bpe_total_pour1000,0.0287,0.008,0.0,0.0079
pct_csp_independant,nb_pieces_moyen,0.0814,0.0226,0.0147,0.0079
pct_femmes,pct_0_19,0.0289,0.008,0.0001,0.0079
age_moyen,DISP_PPMINI21,0.066,0.0183,0.0105,0.0078
pct_20_64,pct_cdd,0.0288,0.008,0.0003,0.0078
taille_menage_moy,pct_65_plus,0.0285,0.0079,0.0001,0.0078
pct_20_64,DISP_S80S2021,0.0401,0.0111,0.0034,0.0078
age_moyen,pct_actifs_2roues,0.0315,0.0087,0.0009,0.0078
age_moyen,bpe_C_enseignement_pour1000,0.0331,0.0092,0.0014,0.0078
DISP_PPLOGT21,pct_capbep,0.0634,0.0176,0.0099,0.0077
pct_logvac,bpe_sport_indoor_pour1000,0.0297,0.0082,0.0006,0.0077
pct_immigres,pct_csp_intermediaire,0.0444,0.0123,0.0046,0.0077
pct_logements_recents,pct_suroccupation,0.0611,0.0169,0.0092,0.0077
pct_immigres,ecart_csp_plus_hf,0.0493,0.0137,0.0059,0.0077
pct_20_64,pct_actifs_marche,0.0457,0.0127,0.0051,0.0076
pct_csp_intermediaire,pct_interim,0.1231,0.0342,0.0265,0.0076
age_moyen,pct_cdi,0.0315,0.0087,0.0012,0.0076
pct_inactif,bpe_A_services_pour1000,0.0276,0.0077,0.0002,0.0075
pct_sans_diplome,bpe_F_sports_culture_pour1000,0.0273,0.0076,0.0001,0.0075
pct_maison,pct_chauffage_elec,0.0553,0.0153,0.0078,0.0075
pct_csp_independant,pct_logements_anciens,0.1168,0.0324,0.0249,0.0075
pct_etrangers,pct_chauffage_elec,0.0352,0.0098,0.0023,0.0075
pct_20_64,DISP_PPLOGT21,0.0312,0.0087,0.0012,0.0075
DISP_PPLOGT21,bpe_A_services_pour1000,0.0335,0.0093,0.0019,0.0074
pct_csp_agriculteur,pct_chauffage_gaz_bouteille,0.1641,0.0455,0.0381,0.0074
pct_csp_plus,pct_cdd,0.0994,0.0276,0.0202,0.0074
pct_etrangers,bpe_B_commerces_pour1000,0.0937,0.026,0.0186,0.0074
pct_temps_partiel,pct_etudiants,0.0332,0.0092,0.0019,0.0074
taille_menage_moy,bpe_A_services_pour1000,0.0376,0.0104,0.003,0.0074
DISP_PIMPOT21,bpe_A_services_pour1000,0.0326,0.0091,0.0017,0.0073
pct_csp_employe,pct_voiture_0,0.0275,0.0076,0.0003,0.0073
pct_0_19,pct_actifs_2roues,0.0264,0.0073,0.0,0.0073
pct_sans_diplome,pct_suroccupation,0.0277,0.0077,0.0004,0.0073
pct_hors_menage,pct_logements_anciens,0.0598,0.0166,0.0093,0.0073
DISP_PTSA21,pct_sport_accessible,0.0515,0.0143,0.0071,0.0072
pct_femmes,pct_csp_employe,0.0261,0.0072,0.0,0.0072
ecart_csp_plus_hf,pct_logements_recents,0.0391,0.0109,0.0036,0.0072
pct_femmes,pct_csp_independant,0.0628,0.0174,0.0102,0.0072
DISP_PIMPOT21,pct_chauffage_fioul,0.0779,0.0216,0.0144,0.0072
pct_hors_menage,pct_sup5,0.0357,0.0099,0.0027,0.0072
pct_chauffage_elec,bpe_F_sports_culture_pour1000,0.044,0.0122,0.0051,0.0071
DISP_PCHO21,pct_chauffage_elec,0.0755,0.021,0.0138,0.0071
pct_0_19,pct_grands_logements,0.0263,0.0073,0.0002,0.0071
DISP_RD21,bpe_A_services_pour1000,0.0405,0.0112,0.0042,0.0071
pct_hors_menage,bpe_sport_indoor_pour1000,0.0619,0.0172,0.0101,0.0071
pct_sans_diplome,pct_chauffage_gaz_ville,0.0642,0.0178,0.0107,0.0071
pct_20_64,DISP_PPAT21,0.0257,0.0071,0.0,0.0071
taille_menage_moy,DISP_PTSA21,0.0255,0.0071,0.0001,0.007
pct_actifs_marche,pct_suroccupation,0.1708,0.0474,0.0404,0.007
pct_0_19,nb_pieces_moyen,0.0394,0.0109,0.0039,0.007
pct_logvac,bpe_B_commerces_pour1000,0.0461,0.0128,0.0058,0.007
pct_csp_employe,pct_etudiants,0.0257,0.0071,0.0002,0.007
pct_csp_intermediaire,pct_proprietaires,0.0421,0.0117,0.0047,0.007
pct_csp_ouvrier,pct_actifs_marche,0.1057,0.0293,0.0223,0.007
DISP_PTSA21,pct_logements_5p_plus,0.1288,0.0358,0.0288,0.007
bpe_ecole_privee_pour1000,pct_sport_accessible,0.0285,0.0079,0.001,0.0069
pct_femmes,pct_cdi,0.0249,0.0069,0.0,0.0069
pct_etrangers,bpe_total_pour1000,0.0465,0.0129,0.006,0.0069
pct_femmes,pct_sport_accessible,0.0423,0.0117,0.0049,0.0069
DISP_MED21,pct_actifs_transports,0.1349,0.0374,0.0306,0.0069
DISP_PPEN21,pct_actifs_marche,0.0362,0.0101,0.0031,0.0069
pct_actifs_marche,pct_hlm,0.17,0.0472,0.0404,0.0068
pct_hors_menage,DISP_PTSA21,0.0317,0.0088,0.002,0.0068
pct_hors_menage,pct_chomage,0.0451,0.0125,0.0057,0.0068
DISP_PPMINI21,bpe_A_services_pour1000,0.0317,0.0088,0.002,0.0068
pct_20_64,bpe_G_tourisme_pour1000,0.026,0.0072,0.0004,0.0068
pct_logvac,bpe_D_sante_pour1000,0.0364,0.0101,0.0033,0.0068
pct_20_64,pct_interim,0.0355,0.0099,0.003,0.0068
pct_logvac,bpe_F_sports_culture_pour1000,0.0358,0.0099,0.0031,0.0068
ecart_csp_plus_hf,DISP_PPSOC21,0.0869,0.0241,0.0174,0.0067
pct_0_19,bpe_D_sante_pour1000,0.0631,0.0175,0.0108,0.0067
age_moyen,bpe_sport_indoor_pour1000,0.0305,0.0085,0.0017,0.0067
ecart_csp_plus_hf,bpe_A_services_pour1000,0.035,0.0097,0.003,0.0067
pct_actifs_2roues,pct_grands_logements,0.1336,0.0371,0.0304,0.0067
pct_csp_plus,bpe_A_services_pour1000,0.032,0.0089,0.0022,0.0067
pct_0_19,pct_voiture_2plus,0.0813,0.0226,0.016,0.0066
pct_cdi,pct_logements_anciens,0.0315,0.0088,0.0022,0.0066
pct_csp_independant,pct_bac_plus,0.0373,0.0104,0.0037,0.0066
pct_temps_partiel,pct_actifs_voiture,0.0249,0.0069,0.0003,0.0066
DISP_PPEN21,pct_actifs_velo,0.0471,0.0131,0.0066,0.0065
bpe_G_tourisme_pour1000,bpe_ecole_privee_pour1000,0.024,0.0066,0.0002,0.0065
pct_chauffage_gaz_bouteille,bpe_F_sports_culture_pour1000,0.1507,0.0418,0.0353,0.0065
pct_sans_diplome,bpe_E_transports_pour1000,0.0276,0.0077,0.0011,0.0065
DISP_PPMINI21,bpe_G_tourisme_pour1000,0.0235,0.0065,0.0,0.0065
pct_sans_diplome,bpe_C_enseignement_pour1000,0.0237,0.0066,0.0002,0.0064
pct_inactif,bpe_G_tourisme_pour1000,0.0253,0.007,0.0006,0.0064
pct_sup5,pct_sport_accessible,0.0237,0.0066,0.0001,0.0064
pct_femmes,DISP_TP6021,0.0554,0.0154,0.0089,0.0064
pct_csp_intermediaire,pct_logements_5p_plus,0.0389,0.0108,0.0044,0.0064
pct_csp_ouvrier,bpe_D_sante_pour1000,0.1599,0.0444,0.038,0.0064
DISP_PACT21,pct_proprietaires,0.1012,0.0281,0.0217,0.0064
ecart_csp_plus_hf,nb_pieces_moyen,0.0765,0.0212,0.015,0.0063
pct_sans_diplome,bpe_B_commerces_pour1000,0.023,0.0064,0.0,0.0063
pct_65_plus,pct_actifs_marche,0.0376,0.0104,0.0042,0.0063
pct_actifs_voiture,bpe_A_services_pour1000,0.0273,0.0076,0.0013,0.0063
pct_hlm,bpe_F_sports_culture_pour1000,0.1458,0.0405,0.0342,0.0063
DISP_PPSOC21,bpe_C_enseignement_pour1000,0.0489,0.0136,0.0073,0.0063
pct_65_plus,pct_interim,0.0337,0.0093,0.0032,0.0062
pct_0_19,pct_garage,0.0285,0.0079,0.0017,0.0062
pct_csp_employe,DISP_PACT21,0.0442,0.0123,0.0061,0.0062
pct_inactif,bpe_C_enseignement_pour1000,0.058,0.0161,0.0099,0.0062
pct_65_plus,pct_actifs_2roues,0.0246,0.0068,0.0006,0.0062
pct_sans_diplome,pct_logements_anciens,0.0251,0.007,0.0008,0.0062
pct_capbep,bpe_G_tourisme_pour1000,0.0474,0.0132,0.0069,0.0062
pct_csp_intermediaire,bpe_ecole_privee_pour1000,0.0225,0.0063,0.0,0.0062
ecart_csp_plus_hf,DISP_PPFAM21,0.0883,0.0245,0.0183,0.0062
pct_etrangers,DISP_PTSA21,0.1065,0.0296,0.0235,0.0061
bpe_educ_prioritaire_pour1000,bpe_sport_indoor_pour1000,0.0236,0.0066,0.0005,0.0061
DISP_RD21,bpe_educ_prioritaire_pour1000,0.0354,0.0098,0.0038,0.0061
DISP_PPEN21,pct_actifs_2roues,0.0362,0.01,0.0039,0.0061
pct_bac_plus,bpe_G_tourisme_pour1000,0.0367,0.0102,0.0042,0.006
DISP_PPAT21,pct_cdd,0.0293,0.0081,0.0021,0.006
pct_immigres,taille_menage_moy,0.0387,0.0107,0.0047,0.006
pct_cdd,pct_chauffage_gaz_bouteille,0.0234,0.0065,0.0005,0.006
taille_menage_moy,pct_chauffage_elec,0.0274,0.0076,0.0016,0.006
pct_immigres,pct_sport_accessible,0.0254,0.0071,0.001,0.006
pct_csp_agriculteur,pct_petits_logements,0.1654,0.0459,0.0399,0.006
pct_0_19,DISP_PIMPOT21,0.0402,0.0112,0.0052,0.0059
DISP_PIMPOT21,bpe_B_commerces_pour1000,0.0832,0.0231,0.0172,0.0059
pct_0_19,pct_logements_5p_plus,0.0375,0.0104,0.0045,0.0059
pct_hors_menage,pct_voiture_0,0.0669,0.0186,0.0127,0.0059
pct_sup5,bpe_A_services_pour1000,0.0212,0.0059,0.0,0.0059
pct_suroccupation,pct_chauffage_gaz_bouteille,0.1498,0.0416,0.0357,0.0059
pct_capbep,pct_sport_accessible,0.0236,0.0066,0.0008,0.0058
pct_0_19,pct_chomage,0.0378,0.0105,0.0047,0.0058
pct_capbep,bpe_A_services_pour1000,0.0228,0.0063,0.0005,0.0058
pct_csp_agriculteur,DISP_PPEN21,0.0825,0.0229,0.017,0.0058
taille_menage_moy,pct_logements_recents,0.0211,0.0059,0.0001,0.0058
pct_csp_employe,bpe_G_tourisme_pour1000,0.0411,0.0114,0.0056,0.0058
pct_65_plus,bpe_sport_indoor_pour1000,0.0284,0.0079,0.0021,0.0058
pct_65_plus,bpe_D_sante_pour1000,0.0411,0.0114,0.0056,0.0058
pct_actifs_velo,bpe_B_commerces_pour1000,0.138,0.0383,0.0326,0.0057
bpe_A_services_pour1000,bpe_ecole_privee_pour1000,0.0222,0.0062,0.0004,0.0057
pct_bac_plus,bpe_sport_indoor_pour1000,0.0309,0.0086,0.0029,0.0057
pct_hors_menage,DISP_PACT21,0.0224,0.0062,0.0006,0.0057
age_moyen,DISP_PIMPOT21,0.0506,0.0141,0.0084,0.0057
pct_csp_independant,pct_etudiants,0.0816,0.0226,0.017,0.0057
pct_femmes,pct_studios,0.0972,0.027,0.0213,0.0057
DISP_GI21,pct_logements_anciens,0.0299,0.0083,0.0026,0.0057
pct_csp_employe,bpe_ecole_privee_pour1000,0.0214,0.0059,0.0003,0.0057
age_moyen,pct_chomage,0.0395,0.011,0.0053,0.0057
pct_csp_employe,pct_chauffage_autre,0.0664,0.0184,0.0127,0.0057
taille_menage_moy,DISP_PACT21,0.0203,0.0056,0.0,0.0056
pct_hors_menage,pct_logements_recents,0.0203,0.0056,0.0,0.0056
ecart_csp_plus_hf,bpe_ecole_privee_pour1000,0.0288,0.008,0.0024,0.0056
pct_csp_employe,DISP_TP6021,0.0553,0.0153,0.0097,0.0056
pct_logements_recents,bpe_G_tourisme_pour1000,0.0212,0.0059,0.0003,0.0056
pct_65_plus,bpe_C_enseignement_pour1000,0.0219,0.0061,0.0004,0.0056
pct_etudiants,bpe_total_pour1000,0.0201,0.0056,0.0,0.0056
DISP_PPAT21,pct_inactif,0.061,0.0169,0.0114,0.0056
pct_0_19,pct_actifs_voiture,0.0236,0.0065,0.0011,0.0055
DISP_PPSOC21,pct_petits_logements,0.0786,0.0218,0.0163,0.0055
DISP_PPSOC21,bpe_A_services_pour1000,0.0268,0.0074,0.0019,0.0055
pct_actifs_velo,pct_chauffage_elec,0.0451,0.0125,0.007,0.0055
pct_actifs_marche,pct_chauffage_autre,0.2464,0.0684,0.0629,0.0055
pct_cdd,pct_chauffage_elec,0.0205,0.0057,0.0002,0.0055
pct_hors_menage,bpe_C_enseignement_pour1000,0.0771,0.0214,0.0159,0.0055
pct_hors_menage,pct_bac_plus,0.02,0.0055,0.0,0.0055
pct_csp_retraite,DISP_PPSOC21,0.0442,0.0123,0.0068,0.0055
taille_menage_moy,bpe_B_commerces_pour1000,0.0751,0.0208,0.0154,0.0054
DISP_PPFAM21,pct_logvac,0.0384,0.0106,0.0052,0.0054
DISP_S80S2021,bpe_ecole_privee_pour1000,0.0255,0.0071,0.0016,0.0054
pct_sup5,pct_cdd,0.0203,0.0056,0.0002,0.0054
taille_menage_moy,DISP_PPAT21,0.0249,0.0069,0.0015,0.0054
pct_sans_diplome,pct_petits_logements,0.0483,0.0134,0.008,0.0054
pct_20_64,DISP_TP6021,0.0379,0.0105,0.0051,0.0054
pct_temps_partiel,bpe_ecole_privee_pour1000,0.0197,0.0055,0.0,0.0054
pct_hors_menage,pct_appart,0.0889,0.0247,0.0193,0.0054
ecart_csp_plus_hf,pct_logements_5p_plus,0.0557,0.0155,0.0101,0.0054
pct_temps_partiel,nb_pieces_moyen,0.0249,0.0069,0.0015,0.0054
pct_temps_partiel,pct_appart,0.0314,0.0087,0.0034,0.0054
pct_csp_agriculteur,pct_actifs_transports,0.243,0.0674,0.0621,0.0053
DISP_PPMINI21,bpe_E_transports_pour1000,0.0505,0.014,0.0088,0.0053
taille_menage_moy,DISP_MED21,0.019,0.0053,0.0,0.0053
pct_logvac,bpe_C_enseignement_pour1000,0.0346,0.0096,0.0044,0.0052
DISP_PPEN21,pct_interim,0.0211,0.0059,0.0007,0.0052
pct_20_64,pct_hlm,0.0221,0.0061,0.0009,0.0052
pct_immigres,pct_csp_employe,0.0422,0.0117,0.0065,0.0052
pct_logvac,pct_studios,0.0232,0.0064,0.0012,0.0052
pct_temps_partiel,pct_maison,0.029,0.008,0.0029,0.0051
pct_csp_intermediaire,pct_grands_logements,0.0437,0.0121,0.0071,0.0051
DISP_PCHO21,pct_actifs_marche,0.1913,0.0531,0.048,0.0051
pct_capbep,pct_temps_partiel,0.0355,0.0099,0.0047,0.0051
pct_csp_employe,bpe_E_transports_pour1000,0.0769,0.0213,0.0162,0.0051
pct_etrangers,pct_0_19,0.0673,0.0187,0.0135,0.0051
