variable,impurity_importance,perm_importance_mean,perm_importance_std
bpe_ecole_privee_pour1000,0.010719435056061934,0.014454850209068814,0.0004381794415910353
DISP_PCHO21,0.051759379877248844,0.012674797178538566,0.0006632114564863263
pct_immigres,0.05681199487752191,0.011070135504961642,0.0005655831911528439
DISP_TP6021,0.04169854043723916,0.009904084879337638,0.0008659791563855946
pct_bac_plus,0.027703623974756356,0.008307326212459354,0.0008447212911120442
pct_chauffage_elec,0.010132019903051988,0.008251497583396872,0.0002311803416479028
pct_sup5,0.02603371813597708,0.006875521692369768,0.0006854453286070605
pct_etrangers,0.04669807549854305,0.004979214147462108,0.00046519806035005856
DISP_PPFAM21,0.020533101335784277,0.004905185302273185,0.00042973798117832915
DISP_PPSOC21,0.027506633363577036,0.004666629941047861,0.0005699211896783506
DISP_PPAT21,0.013505591812668914,0.004654774166876996,0.00033792203559354476
pct_actifs_velo,0.009591050218892621,0.004621447400996603,0.00039264452175432853
pct_chauffage_autre,0.017785965136922044,0.004609380314500167,0.00036900853144435346
pct_capbep,0.014436175771043912,0.004530914395002028,0.0004933710657666094
age_moyen,0.014804227856924283,0.004524620632687692,0.00040752652814287515
pct_csp_sans_emploi,0.014306702163987316,0.004491665273156387,0.00044320792690713
pct_chomage,0.013649953101608861,0.00442305307100469,0.0005187529739079944
pct_csp_retraite,0.012971124597991749,0.004371825213306935,0.000504937757533532
pct_sans_diplome,0.010643760686124935,0.004203044731140093,0.00048666498329084126
pct_temps_partiel,0.007480525914624403,0.004202258610005061,0.0004598450391968483
pct_logements_anciens,0.008955475147110165,0.003933321644548948,0.0003836106679901388
pct_logements_5p_plus,0.0175804729071551,0.003919689029497175,0.00040503655477661614
DISP_PIMPOT21,0.014234520375977996,0.003796266500558276,0.0002429792451322088
pct_actifs_transports,0.029117810049203236,0.0037859341207275633,0.00041804761094550464
pct_csp_plus,0.011591072823183276,0.00376872229786025,0.00046109362044427293
pct_65_plus,0.011335649213017699,0.00367736927791259,0.0003228114676364071
DISP_MED21,0.02318324650138977,0.0036396581543597486,0.0003438205077042388
pct_csp_ouvrier,0.008473299912091864,0.0034789633446661973,0.0004340818510225664
pct_grands_logements,0.031217405067189542,0.003445962787079515,0.00039539999102098294
pct_hlm,0.008435130278908597,0.003314967965564408,0.00035248506623632175
pct_csp_agriculteur,0.013345351415522518,0.003084804972758093,0.0003535791432415104
surface_moyenne,0.021551214074456943,0.003076117872969275,0.0002900134013964609
DISP_PPEN21,0.009695835133120102,0.00301627714827013,0.00034809658362080386
nb_pieces_moyen,0.015018937015275327,0.0030056107820723545,0.00042233874950239187
pct_garage,0.007508883058654831,0.0028734850807478397,0.0005056576082679857
pct_20_64,0.006469208645755055,0.002870306951619639,0.00039486539883152656
DISP_PTSA21,0.007112338543384193,0.0028152821742171152,0.0002120680318665052
pct_chauffage_gaz_ville,0.009325897172156195,0.002807605632644883,0.0005317050190557566
DISP_PACT21,0.006781781184736529,0.0026906137772707227,0.00029911874272979587
bpe_F_sports_culture_pour1000,0.007439607357473406,0.002686011047718684,0.00020049399368648424
pct_etudiants,0.006225624203871221,0.0026738925066214225,0.00028647797351193165
pct_actifs_2roues,0.004821765778628291,0.0025829862331539057,0.00030857039486925343
pct_0_19,0.0066218124486209515,0.0025633694050933077,0.0003418654120102656
pct_appart,0.011325800354092298,0.0025137712853158132,0.0002950307334095885
pct_actifs_voiture,0.01523020106362668,0.002474207164886455,0.00033803397758355356
pct_csp_employe,0.0056875198407086896,0.0024543330269898634,0.00030497030772376384
bpe_E_transports_pour1000,0.005110056226060646,0.0024437708984832883,0.00024098972458799035
DISP_S80S2021,0.00774510643102164,0.0024397244646676697,0.0002802907099634915
pct_chauffage_fioul,0.008948143514901585,0.0024109935087769153,0.00019722828592972836
pct_cdd,0.00589461785908305,0.002362077058971368,0.00037191484134749183
bpe_D_sante_pour1000,0.005390560903381008,0.0023485868727598945,0.00026903014534288054
DISP_PPLOGT21,0.023642459533083058,0.0022340370182650114,0.0006526093721638609
DISP_GI21,0.006755139990320093,0.0022327923510831347,0.0002910605517923308
pct_logvac,0.004818823867461929,0.0021778725995414304,0.00041560638425914274
pct_locataires,0.011389904134551878,0.0021521709423337975,0.0003851634141371203
pct_csp_intermediaire,0.004360826877056795,0.002007216292518066,0.00019725961514807918
ecart_csp_plus_hf,0.0037934687458115765,0.001982270205380765,0.0001872549388252429
pct_interim,0.005106267867888908,0.0019432882784302552,0.0003551002498871946
pct_inactif,0.004302488207277406,0.0019410270021765542,0.00021186249659244395
pct_cdi,0.005845511288577323,0.0019356920439695057,0.0002483103026558345
pct_proprietaires,0.009118902463585663,0.0018278456640355878,0.0003410138665965566
pct_chauffage_gaz_bouteille,0.004702985713816717,0.0018127055351032872,0.00027249518011757134
pct_csp_independant,0.004681708082522395,0.0017804785601038154,0.00018611609464815032
DISP_RD21,0.005979210387463567,0.0017776001692426991,0.0003573461177447716
pct_voiture_2plus,0.012361604675916507,0.0017271084131879166,0.000411681125865809
bpe_total_pour1000,0.0044478911291607175,0.0017262483228800084,0.00014910084660093456
taille_menage_moy,0.0030907239312782083,0.0017107112465112873,0.0002622114522298561
pct_femmes,0.004376757074671419,0.0016620077601527616,0.00018383998915237908
DISP_PPMINI21,0.014003334063092988,0.001636642757551887,0.00037491932976559843
bpe_A_services_pour1000,0.004727742272903709,0.001632311040498846,0.0002361466549109869
pct_hors_menage,0.002760305468945593,0.0016146628472878065,0.00027330337488430374
bpe_sport_indoor_pour1000,0.003362324966255289,0.0015770965876798382,0.00018120514658198799
pct_actifs_marche,0.0039428346129560836,0.001575402555367067,0.0002827795281300556
pct_logements_recents,0.003971349741245682,0.0015626179689476993,0.00018229699798404963
pct_suroccupation,0.003252725491370608,0.0015489773762881632,0.00023163669938501612
bpe_B_commerces_pour1000,0.0040682507666728405,0.0015335303366423414,0.00023465422894767085
pct_studios,0.004056756500369805,0.0015203572645857589,0.00021834503815122846
pct_maison,0.008490418473908062,0.0014863242914114005,0.0003069263034848219
bpe_C_enseignement_pour1000,0.003265066116473534,0.0014376734398022894,0.000253863034555561
pct_voiture_0,0.01337918434586084,0.0013514476380335205,0.0001974582350448026
pct_petits_logements,0.004498298876849603,0.001320234487392702,0.00020299392372716705
bpe_G_tourisme_pour1000,0.003450438894113068,0.0010604452167697898,0.00019382791857327662
pct_sport_accessible,0.002468315921954081,0.0009161313490991252,0.0001779375552289259
bpe_educ_prioritaire_pour1000,0.00138203529627474,0.0003248427833990486,8.034650045955518e-05
