,national,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE,ABSTENTION
pct_etrangers,7.092555636320599,6.611021140143569,5.624567387327711,9.865217570628522,6.7654683908169275,6.4672742176410445,6.8109194921897505,6.511668529941712,6.5392538839218695,6.02274384468364,5.769166075236353,8.116002957577145
pct_immigres,9.70127981073176,9.15944989702741,7.807036431120807,13.109604304364765,9.42065220261049,9.002699145123735,9.428901945207523,8.933558992377591,9.017540848104211,8.344109623535843,7.939685056639828,10.87439977167533
age_moyen,42.13474437108889,42.36038036065762,42.61499293633293,40.86096509126242,42.65292302985075,42.78811331487412,41.91008458736849,42.47718015723271,42.392810399008525,42.60376285441427,43.10168807511656,41.88002352634536
pct_femmes,51.54610941619498,51.63945419634372,51.35251981511992,51.5960986280394,51.66894860317524,51.657179461659915,51.6783077658158,51.56724431013101,51.635786266171365,51.35832647629674,51.3116139429259,51.63967523436354
taille_menage_moy,1.0317107628754372,1.0300853008773025,1.03082463203342,1.0368386780612977,1.0293231680087558,1.029638225960313,1.0294430211161856,1.0321187588876553,1.028955594262931,1.0283813224140606,1.0303601038822872,1.0375669608351774
pct_hors_menage,2.1525418026134173,2.1802367904484115,2.0760865189080113,2.1771884361702063,2.163225490758492,2.1976192641779324,2.183869789386948,2.161224892309248,2.258223460030299,2.0881342213725507,2.1399390194987458,2.242805571672363
ecart_csp_plus_hf,3.7396950334321124,4.134777003297145,3.0866665565559788,3.748008610556667,3.9962825024061224,4.219852071916334,4.534012009934328,3.433810472473758,3.873541609879464,3.503036933630176,3.1524695797292424,3.5369114228313783
pct_0_19,23.544250326538577,23.225218863294856,23.628670995068433,24.404741678236846,22.989578689519075,22.888430359218994,23.077736266104353,23.373987409419716,23.082344911477783,23.403205708422558,22.970253870052083,23.822598853623006
pct_20_64,55.65848871944499,55.69279723369024,54.89736302014472,56.49632038524637,55.49248537164467,55.40854869641791,56.623186713769094,55.29429557362223,55.76737732115755,55.23478432210419,54.92899039379804,55.60345514020995
pct_65_plus,20.79726095401643,21.08198390301489,21.473965984786858,19.098937936516784,21.517935938836267,21.703020944363086,20.29907702012655,21.33171701695805,21.15027776736468,21.362009969473245,22.100755736149868,20.573946006167034
