"NATURE_ZONAGE","COM_COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"COM","93403","0","GUERGOUR (COMMUNE MIXTE)","Guergour (commune mixte)","Guergour (commune mixte)","1943-01-01","1962-07-05"
"COM","93404","0","OUED MARSA (COMMUNE MIXTE)","Oued-Marsa (commune mixte)","Oued-Marsa (commune mixte)","1943-01-01","1962-07-05"
"COM","93405","0","SOUMMAM (COMMUNE MIXTE)","Soummam (commune mixte)","Soummam (commune mixte)","1943-01-01","1962-07-05"
"COM","93406","0","TAHER (COMMUNE MIXTE)","Taher (commune mixte)","Taher (commune mixte)","1943-01-01","1962-07-05"
"COM","93410","0","BOUGIE","Bougie","Bougie","1943-01-01","1962-07-05"
"COM","93411","0","AKBOU","Akbou","Akbou","1943-01-01","1962-07-05"
"COM","93412","0","CHEFKA","Chefka","Chefka","1943-01-01","1962-07-05"
"COM","93413","0","DJIDJELLI","Djidjelli","Djidjelli","1943-01-01","1962-07-05"
"COM","93414","0","DUQUESNE","Duquesne","Duquesne","1943-01-01","1962-07-05"
"COM","93415","0","EL KSEUR","El-Kseur","El-Kseur","1943-01-01","1962-07-05"
"COM","93416","0","OUED AMIZOUR","Oued-Amizour","Oued-Amizour","1943-01-01","1962-07-05"
"COM","93417","0","SEDDOUK","Seddouk","Seddouk","1943-01-01","1962-07-05"
"COM","93418","0","STRASBOURG","Strasbourg","Strasbourg","1943-01-01","1962-07-05"
"COM","93419","0","TAZMALT","Tazmalt","Tazmalt","1943-01-01","1962-07-05"
"COM","93420","0","ZIAMA MANSOURIA","Ziama-Mansouria","Ziama-Mansouria","1948-06-01","1962-07-05"
"COM","93501","0","OUED CHERF (COMMUNE MIXTE)","Oued-Cherf (commune mixte)","Oued-Cherf (commune mixte)","1943-01-01","1962-07-05"
"COM","93502","0","SEFIA (COMMUNE MIXTE)","Séfia (commune mixte)","Séfia (commune mixte)","1943-01-01","1962-07-05"
"COM","93503","0","SOUK AHRAS (COMMUNE MIXTE)","Souk-Ahras (commune mixte)","Souk-Ahras (commune mixte)","1943-01-01","1962-07-05"
"COM","93510","0","GUELMA","Guelma","Guelma","1943-01-01","1962-07-05"
"COM","93511","0","CLAUZEL","Clauzel","Clauzel","1943-01-01","1962-07-05"
"COM","93512","0","GALLIENI","Galliéni","Galliéni","1943-01-01","1962-07-05"
"COM","93513","0","GUELAAT BOU SBA","Guelaât-Bou-Sba","Guelaât-Bou-Sba","1943-01-01","1962-07-05"
"COM","93514","0","HELIOPOLIS","Héliopolis","Héliopolis","1943-01-01","1962-07-05"
"COM","93515","0","KELLERMANN","Kellermann","Kellermann","1943-01-01","1962-07-05"
"COM","93516","0","MILLESIMO","Millésimo","Millésimo","1943-01-01","1962-07-05"
"COM","93517","0","PETIT","Petit","Petit","1943-01-01","1962-07-05"
"COM","93518","0","SOUK AHRAS","Souk-Ahras","Souk-Ahras","1943-01-01","1962-07-05"
"COM","93601","0","COLLO (COMMUNE MIXTE)","Collo (commune mixte)","Collo (commune mixte)","1943-01-01","1962-07-05"
"COM","93602","0","JEMMAPES (COMMUNE MIXTE)","Jemmapes (commune mixte)","Jemmapes (commune mixte)","1943-01-01","1962-07-05"
"COM","93610","0","PHILIPPEVILLE","Philippeville","Philippeville","1943-01-01","1962-07-05"
"COM","93611","0","COL DES OLIVIERS","Col-des-Oliviers","Col-des-Oliviers","1943-01-01","1962-07-05"
"COM","93612","0","COLLO","Collo","Collo","1943-01-01","1962-07-05"
"COM","93613","0","EL ARROUCH","El-Arrouch","El-Arrouch","1943-01-01","1962-07-05"
"COM","93614","0","GASTONVILLE","Gastonville","Gastonville","1943-01-01","1962-07-05"
"COM","93615","0","GASTU","Gastu","Gastu","1943-01-01","1962-07-05"
"COM","93616","0","JEMMAPES","Jemmapes","Jemmapes","1943-01-01","1962-07-05"
"COM","93617","0","ROBERTVILLE","Robertville","Robertville","1943-01-01","1962-07-05"
"COM","93618","0","SAINT CHARLES","Saint-Charles","Saint-Charles","1943-01-01","1962-07-05"
"COM","93619","0","STORA","Stora","Stora","1943-01-01","1962-07-05"
"COM","93701","0","BIBANS (COMMUNE MIXTE)","Bibans (commune mixte)","Bibans (commune mixte)","1943-01-01","1962-07-05"
"COM","93702","0","DES EULMA (COMMUNE MIXTE)","Des-Eulma (commune mixte)","Des-Eulma (commune mixte)","1943-01-01","1962-07-05"
"COM","93703","0","DES MAADID (COMMUNE MIXTE)","Des-Maadid (commune mixte)","Des-Maadid (commune mixte)","1943-01-01","1962-07-05"
