"CODE_EXT","CODE_GEO","LIBGEO"
"06488","06088","Nice"
"13155","13055","Marseille"
"13255","13055","Marseille"
"18433","18033","Bourges"
"31655","31555","Toulouse"
"33663","33063","Bordeaux"
"34999","34172","Montpellier"
"35438","35238","Rennes"
"44309","44109","Nantes"
"49507","49007","Angers"
"51854","51454","Reims"
"54695","54395","Nancy"
"57863","57463","Metz"
"59699","59599","Tourcoing"
"59750","59350","Lille"
"62960","62160","Boulogne-sur-Mer"
"67582","67482","Strasbourg"
"68724","68224","Mulhouse"
"75151","75051","Neuilly-sur-Seine"
"75201","75101","Paris 1er Arrondissement"
"75202","75102","Paris 2e Arrondissement"
"75203","75103","Paris 3e Arrondissement"
"75204","75104","Paris 4e Arrondissement"
"75205","75105","Paris 5e Arrondissement"
"75206","75106","Paris 6e Arrondissement"
"75207","75107","Paris 7e Arrondissement"
"75208","75108","Paris 8e Arrondissement"
"75209","75109","Paris 9e Arrondissement"
"75210","75110","Paris 10e Arrondissement"
"75211","75111","Paris 11e Arrondissement"
"75212","75112","Paris 12e Arrondissement"
"75213","75113","Paris 13e Arrondissement"
"75214","75114","Paris 14e Arrondissement"
"75215","75115","Paris 15e Arrondissement"
"75216","75116","Paris 16e Arrondissement"
"75217","75117","Paris 17e Arrondissement"
"75218","75118","Paris 18e Arrondissement"
"75219","75119","Paris 19e Arrondissement"
"75220","75120","Paris 20e Arrondissement"
"75314","75114","Paris 14e Arrondissement"
"76840","76540","Rouen"
"76851","76351","Le Havre"
"90510","90010","Belfort"
"91011","99352","Algérie"
"91031","99352","Algérie"
"91078","99352","Algérie"
"91190","99352","Algérie"
"91291","99352","Algérie"
"91298","99352","Algérie"
"91305","99352","Algérie"
"91422","99352","Algérie"
"91440","99352","Algérie"
"91450","99352","Algérie"
"91595","99352","Algérie"
"91601","99352","Algérie"
"91604","99352","Algérie"
"91716","99352","Algérie"
"91766","99352","Algérie"
"91772","99352","Algérie"
"91802","99352","Algérie"
"91803","99352","Algérie"
"91804","99352","Algérie"
"91805","99352","Algérie"
"91806","99352","Algérie"
"91807","99352","Algérie"
"91808","99352","Algérie"
"91809","99352","Algérie"
"91810","99352","Algérie"
"91910","99352","Algérie"
"91994","91345","Longjumeau"
"91995","91345","Longjumeau"
"91996","91345","Longjumeau"
"91997","91174","Corbeil-Essonnes"
"91998","91514","Quincy-sous-Sénart"
"91999","91105","Breuillet"
"92010","99352","Algérie"
"92011","99352","Algérie"
"92059","99352","Algérie"
"92177","99352","Algérie"
"92180","99352","Algérie"
"92182","99352","Algérie"
"92204","99352","Algérie"
"92206","99352","Algérie"
"92241","99352","Algérie"
"92251","99352","Algérie"
"92362","99352","Algérie"
"92376","99352","Algérie"
"92466","99352","Algérie"
"92480","99352","Algérie"
"92706","99352","Algérie"
"92710","99352","Algérie"
"92802","99352","Algérie"
"92803","99352","Algérie"
"92804","99352","Algérie"
"92805","99352","Algérie"
"92806","99352","Algérie"
"92807","99352","Algérie"
"92808","99352","Algérie"
"92809","99352","Algérie"
"92810","99352","Algérie"
"92999","92014","Bourg-la-Reine"
"93002","99352","Algérie"
"93134","99352","Algérie"
"93139","99352","Algérie"
"93180","99352","Algérie"
"93182","99352","Algérie"
"93183","99352","Algérie"
"93220","99352","Algérie"
"93221","99352","Algérie"
"93309","99352","Algérie"
"93326","99352","Algérie"
"93353","99352","Algérie"
"93354","99352","Algérie"
"93495","99352","Algérie"
"93504","99352","Algérie"
"93603","99352","Algérie"
"93608","99352","Algérie"
"93802","99352","Algérie"
"93803","99352","Algérie"
"93804","99352","Algérie"
"93805","99352","Algérie"
"93806","99352","Algérie"
"93807","99352","Algérie"
"93808","99352","Algérie"
"93809","99352","Algérie"
"93810","99352","Algérie"
"93909","99352","Algérie"
"93999","93001","Aubervilliers"
"94110","99352","Algérie"
"94111","99352","Algérie"
"94294","99352","Algérie"
"94353","99352","Algérie"
"94401","99352","Algérie"
"94402","99352","Algérie"
"94403","99352","Algérie"
"94404","99352","Algérie"
"94410","99352","Algérie"
"94701","99352","Algérie"
"94802","99352","Algérie"
"94803","99352","Algérie"
"94804","99352","Algérie"
"94805","99352","Algérie"
"94806","99352","Algérie"
"94807","99352","Algérie"
"94808","99352","Algérie"
"94809","99352","Algérie"
"94810","99352","Algérie"
"95003","99350","Maroc"
"95021","99350","Maroc"
"95031","99350","Maroc"
"95041","99350","Maroc"
"95100","95101","Casablanca"
"95111","95101","Casablanca"
"95115","95116","Fédala"
"95121","95122","Settat"
"95130","95131","Oued-Zem"
"95140","95142","Mazagan"
"95141","95142","Mazagan"
"95143","95144","Azemmour"
"95162","99350","Maroc"
"95179","99350","Maroc"
"95200","95201","Fès"
"95210","95201","Fès"
"95220","95222","Séfrou"
"95221","95222","Séfrou"
"95250","95262","Taza"
"95260","95262","Taza"
"95261","95262","Taza"
"95266","99350","Maroc"
"95269","99350","Maroc"
"95270","95271","Guercif"
"95300","95301","Marrakech"
"95310","95301","Marrakech"
"95312","95301","Marrakech"
"95320","95322","Safi"
"95321","95322","Safi"
"95330","95332","Mogador"
"95331","95332","Mogador"
"95340","95341","Azilal"
"95350","95351","Aït-Ourir"
"95360","95371","Ouarzazate"
"95370","95371","Ouarzazate"
"95390","95391","Zagora"
"95400","95401","Meknès"
"95411","95401","Meknès"
"95420","95421","El-Hajeb"
"95430","95431","Azrou"
"95440","95441","Midelt"
"95450","95451","Khénifra"
"95480","95481","Erfoud"
"95490","95491","Boudenib"
"95500","95501","Oujda"
"95510","95501","Oujda"
"95511","95501","Oujda"
"95514","99350","Maroc"
"95516","99350","Maroc"
"95517","99350","Maroc"
"95520","95521","Berkane"
"95530","95531","Figuig"
"95540","95541","Taourirt"
"95546","99350","Maroc"
"95600","95601","Rabat"
"95611","95601","Rabat"
"95620","95622","Salé"
"95621","95622","Salé"
"95630","95631","Marchand"
"95650","95652","Ouezzane"
"95651","95652","Ouezzane"
"95660","95661","Port-Lyautey"
"95662","99350","Maroc"
"95667","99350","Maroc"
"95670","95661","Port-Lyautey"
"95671","95661","Port-Lyautey"
"95680","95681","Petitjean"
"95690","95691","Souk-el-Arba-du-Rharb"
"95700","95711","Agadir"
"95710","95711","Agadir"
"95713","99350","Maroc"
"95740","95741","Taroudannt"
"95760","95761","Tiznit"
"95763","99350","Maroc"
"95794","99350","Maroc"
"95806","99350","Maroc"
"95878","99350","Maroc"
"95882","99350","Maroc"
"95915","99350","Maroc"
"96013","99351","Tunisie"
"96096","99351","Tunisie"
"96100","96111","Bizerte"
"96110","96111","Bizerte"
"96112","96111","Bizerte"
"96116","96115","Mateur"
"96130","96131","Béja"
"96132","96131","Béja"
"96140","96141","Tabarka"
"96143","96142","Aïn-Draham"
