IRIS;DISP_TP6021;DISP_INCERT21;DISP_Q121;DISP_MED21;DISP_Q321;DISP_EQ21;DISP_D121;DISP_D221;DISP_D321;DISP_D421;DISP_D621;DISP_D721;DISP_D821;DISP_D921;DISP_RD21;DISP_S80S2021;DISP_GI21;DISP_PACT21;DISP_PTSA21;DISP_PCHO21;DISP_PBEN21;DISP_PPEN21;DISP_PPAT21;DISP_PPSOC21;DISP_PPFAM21;DISP_PPMINI21;DISP_PPLOGT21;DISP_PIMPOT21;DISP_NOTE21
692660502;24,0;1;14120;20620;27810;0,66;9910;13090;15430;18070;22890;26210;29900;35060;3,5;4,2;0,269;85,6;77,2;4,0;4,4;16,9;4,2;8,4;2,5;3,5;2,4;-15,1;0
692660601;23,0;1;14510;20810;28540;0,67;10620;13270;15970;18540;23360;26880;30350;36730;3,5;4,3;0,281;79,4;71,6;3,8;4,0;21,3;7,1;7,5;2,5;3,2;1,8;-15,3;0
692660701;28,0;1;12980;19700;27090;0,72;9580;11850;14340;17020;21900;24990;28900;35220;3,7;4,6;0,295;71,7;64,1;4,0;3,6;25,8;7,2;9,5;3,6;4,1;1,8;-14,2;0
692660702;24,0;1;14170;21040;28520;0,68;9470;12930;15760;18370;23440;26990;30820;36870;3,9;4,5;0,279;80,9;74,7;3,7;2,5;20,1;5,2;8,6;2,6;4,1;1,9;-14,8;0
692660703;34,0;1;12370;18350;25310;0,71;8950;11400;13300;15910;20670;23840;27040;33130;3,7;4,3;0,287;68,0;60,7;3,9;3,4;27,8;6,2;11,3;3,3;5,7;2,3;-13,3;0
692660801;33,0;1;12560;17410;23600;0,63;9180;11540;13460;15400;19680;22150;25070;29960;3,3;3,9;0,266;77,8;70,7;4,6;2,5;15,1;4,5;14,6;5,2;6,6;2,8;-12,0;0
692660901;21,0;2;14560;20210;27550;0,64;10650;13380;15590;17640;22560;25570;29260;35600;3,3;3,9;0,268;75,3;68,7;3,8;2,8;22,3;5,7;10,5;2,5;5,1;2,9;-13,8;0
692660902;13,0;1;18870;26480;35170;0,62;12590;17100;20470;23690;29740;33040;37610;46130;3,7;4,3;0,276;82,3;75,1;2,8;4,4;23,5;8,0;4,1;1,6;1,7;0,8;-17,9;0
692660903;23,0;1;14770;21450;30360;0,73;10230;13000;16180;18750;24430;28570;32950;40650;4,0;5,3;0,319;81,5;72,6;3,7;5,2;19,6;8,4;7,0;2,1;3,1;1,8;-16,5;0
692661001;16,0;1;16310;23800;30970;0,62;11470;14820;18060;20930;26520;29270;33640;39490;3,4;4,1;0,267;80,3;73,9;2,9;3,5;23,7;6,8;5,7;1,6;2,7;1,4;-16,5;0
692661002;15,0;1;16970;23690;30240;0,56;11910;15360;18700;21180;25990;28720;32350;39150;3,3;4,0;0,262;76,3;69,0;3,4;3,9;28,3;7,2;4,3;1,3;2,0;1,0;-16,1;0
692661101;15,0;1;16860;23680;31800;0,63;11830;15170;18250;20940;26750;29980;33990;41030;3,5;4,0;0,267;78,6;72,0;3,2;3,4;25,7;5,9;6,2;2,2;2,6;1,4;-16,4;0
692661201;14,0;1;18020;24960;33070;0,60;12540;16150;19420;22300;27990;31410;35800;44150;3,5;4,5;0,288;87,6;78,2;2,9;6,5;18,1;8,2;4,7;1,5;2,1;1,1;-18,6;0
692661202;17,0;1;17260;23770;32180;0,63;11600;15200;18650;21320;27230;30340;34700;41790;3,6;4,4;0,279;89,3;81,6;3,6;4,1;15,8;6,2;5,6;1,5;2,6;1,5;-16,9;0
692661203;12,0;1;18980;26280;33930;0,57;13320;16850;20510;23670;29100;32140;36050;41200;3,1;3,8;0,250;79,5;71,3;2,9;5,3;27,6;5,6;4,6;1,4;2,1;1,1;-17,3;0
692661204;26,0;1;13690;18360;24690;0,60;10010;12640;14520;16430;20290;23160;27130;32330;3,2;3,8;0,260;72,0;64,3;4,6;3,1;25,7;3,8;10,7;1,9;6,1;2,7;-12,2;0
692661205;17,0;1;16050;23350;31100;0,64;11270;14870;17520;20450;26170;29200;33260;39930;3,5;4,9;0,309;77,1;70,8;3,2;3,1;21,0;11,6;6,6;2,0;3,0;1,6;-16,3;0
692661301;18,0;1;15490;22200;30520;0,68;11350;14240;16770;19380;25400;28680;32580;38420;3,4;3,9;0,265;84,3;78,0;3,6;2,7;19,0;4,6;7,8;2,1;3,7;2,0;-15,7;0
692661302;17,0;1;16080;22740;30580;0,64;11330;14710;17740;20140;25570;28440;32670;38910;3,4;4,1;0,269;84,8;79,1;3,3;2,4;19,1;6,0;6,7;2,4;2,8;1,5;-16,6;0
692661303;18,0;1;15600;22560;30330;0,65;11570;14450;16840;19710;25490;28470;32740;38880;3,4;4,0;0,266;86,8;79,3;4,4;3,1;17,8;4,3;7,1;2,4;3,0;1,7;-16,0;0
692661401;21,0;2;14860;21780;30080;0,70;10720;13450;16060;19010;25510;28240;32470;38900;3,6;4,1;0,269;75,8;69,9;2,6;3,3;27,8;5,0;7,1;2,8;2,9;1,4;-15,7;0
692661402;23,0;1;14370;20660;27400;0,63;10540;13100;15760;18290;23560;25930;29390;34700;3,3;3,9;0,259;77,6;70,5;3,7;3,4;23,4;4,8;8,2;2,1;4,0;2,1;-14,0;0
692661403;14,0;1;17520;23630;29870;0,52;11660;15910;18950;21320;25510;28380;31280;36670;3,1;3,5;0,231;77,3;70,8;3,4;3,1;27,9;4,8;5,0;1,4;2,6;1,0;-15,0;0
692661404;25,0;1;13800;19070;27050;0,69;10500;12630;15030;16990;22060;25560;29130;34580;3,3;3,9;0,265;78,3;70,9;4,2;3,2;20,0;4,3;10,6;3,3;4,8;2,5;-13,2;0
692661501;21,0;1;14730;20850;28020;0,64;10510;13500;16000;18370;23400;26110;29850;35870;3,4;4,0;0,263;88,2;80,9;4,5;2,8;13,6;4,3;8,9;2,8;3,9;2,2;-15,0;0
692661502;15,0;1;17020;23810;31470;0,61;12070;15800;18540;21070;26190;29620;34230;39700;3,3;4,0;0,261;86,6;79,4;3,7;3,5;19,1;5,7;5,5;1,7;2,4;1,4;-16,9;0
692661503;16,0;1;16200;22780;30040;0,61;12050;15060;17740;20100;25440;28120;31920;38210;3,2;3,9;0,262;87,2;79,1;4,3;3,8;17,2;4,7;6,4;2,1;2,8;1,5;-15,5;0
692661601;21,0;1;14790;21830;28930;0,65;11010;13640;15940;19020;24190;27070;30410;37100;3,4;4,3;0,281;79,0;70,4;3,2;5,4;21,7;6,3;8,0;2,5;3,6;1,9;-15,0;0
692661602;21,0;1;14880;21160;27710;0,61;10560;13560;15940;18630;23450;26470;29860;36510;3,5;4,4;0,288;73,2;67,1;3,5;2,6;25,5;8,2;7,5;2,8;3,2;1,5;-14,4;0
692661701;37,0;2;11860;16270;23380;0,71;8960;10860;12630;14260;18510;21320;25280;31470;3,5;4,4;0,284;80,9;73,0;5,6;2,3;12,6;2,7;15,8;5,1;7,2;3,5;-12,0;0
692661702;20,0;1;15150;21660;28960;0,64;10530;13800;16870;19320;23940;27240;30960;36110;3,4;4,1;0,263;79,4;72,9;3,5;3,0;22,1;5,6;7,7;2,3;3,7;1,7;-14,8;0
692661703;24,0;1;14030;20240;27540;0,67;10550;12970;15170;17720;22620;25620;29800;36100;3,4;4,3;0,285;79,8;72,8;3,6;3,4;19,8;5,5;10,1;3,4;4,5;2,2;-15,2;0
692661704;29,0;2;13100;18010;23490;0,58;9610;12480;14050;16090;20440;22680;25350;29630;3,1;3,5;0,240;75,1;69,5;4,4;1,2;21,3;2,6;12,3;4,3;5,4;2,6;-11,3;0
692661801;26,0;1;13660;20080;27060;0,67;10230;12600;14680;17240;23020;25360;28640;33260;3,2;3,8;0,259;94,8;87,5;4,7;2,6;5,8;2,2;11,2;3,8;4,8;2,6;-14,0;1
692661802;37,0;2;12240;15780;21740;0,60;9430;11340;12750;14370;18160;20140;23320;27380;2,9;3,7;0,257;72,6;64,1;5,1;3,4;19,1;4,3;14,8;6,4;5,6;2,8;-10,8;0
