IRIS;DISP_TP6021;DISP_INCERT21;DISP_Q121;DISP_MED21;DISP_Q321;DISP_EQ21;DISP_D121;DISP_D221;DISP_D321;DISP_D421;DISP_D621;DISP_D721;DISP_D821;DISP_D921;DISP_RD21;DISP_S80S2021;DISP_GI21;DISP_PACT21;DISP_PTSA21;DISP_PCHO21;DISP_PBEN21;DISP_PPEN21;DISP_PPAT21;DISP_PPSOC21;DISP_PPFAM21;DISP_PPMINI21;DISP_PPLOGT21;DISP_PIMPOT21;DISP_NOTE21
010040101;19,0;2;14990;20350;26140;0,55;11620;14280;16080;18450;22310;24760;28070;32060;2,8;3,4;0,237;70,8;64,2;3,0;3,6;26,9;6,2;8,6;3,3;3,8;1,5;-12,5;0
010040102;25,0;1;13880;18570;24760;0,59;10580;12890;14660;16530;20420;23070;26510;31130;2,9;3,5;0,246;70,6;64,0;4,2;2,4;24,9;5,8;11,1;3,7;5,1;2,3;-12,4;0
010040201;19,0;1;15190;20700;27180;0,58;11400;14060;16320;18700;22840;25470;28930;34450;3,0;3,8;0,262;72,5;65,0;3,5;4,0;27,2;6,4;7,7;2,8;3,3;1,6;-13,8;0
010040202;8,0;1;19600;25230;33170;0,54;14810;18310;20780;23170;27980;31280;35320;41230;2,8;4,1;0,295;73,3;67,3;2,4;3,6;23,8;16,2;4,0;1,8;1,5;0,7;-17,3;0
010330102;24,0;1;14050;20420;29640;0,76;9410;12570;15130;17650;23540;27020;32600;42390;4,5;5,7;0,328;78,9;72,1;4,9;1,9;23,7;5,2;5,3;1,5;2,5;1,3;-13,1;0
010330103;17,0;2;16270;24060;35760;0,81;10700;14520;17900;20820;27730;32740;39720;49310;4,6;5,9;0,336;82,7;75,9;4,0;2,8;21,8;5,8;3,9;1,5;1,5;0,9;-14,2;0
010330201;15,0;1;17940;25980;36690;0,72;11760;16220;20010;22930;28830;33510;40250;53670;4,6;5,5;0,325;79,2;73,0;3,8;2,4;26,4;6,0;3,2;1,2;1,3;0,7;-14,8;0
010330202;26,0;1;13750;19630;28050;0,73;10290;12770;14690;17060;22360;25730;31030;40430;3,9;4,6;0,303;70,2;64,7;4,3;1,2;30,4;3,7;8,0;2,6;3,7;1,7;-12,3;0
010330301;19,0;2;15590;22360;31880;0,73;11260;14220;17040;19960;25550;29270;35150;43590;3,9;4,3;0,287;83,8;78,4;4,7;0,7;19,1;3,0;5,8;2,8;1,9;1,1;-11,7;0
010330401;8,0;1;20830;28590;39750;0,66;15290;19080;22400;25330;32120;37320;43780;54750;3,6;4,7;0,302;86,2;79,8;3,5;2,9;19,2;7,3;2,6;1,3;0,8;0,5;-15,3;0
010340101;9,0;1;18550;22950;29260;0,47;14270;17550;19550;21370;24890;27510;31130;36950;2,6;3,4;0,241;68,3;60,2;2,7;5,4;33,4;9,0;4,8;1,5;2,4;0,9;-15,5;0
010340102;17,0;1;15690;20930;27660;0,57;11780;14360;16650;18890;23220;26130;29860;36550;3,1;3,6;0,253;62,3;55,3;3,2;3,8;36,5;7,3;7,6;2,2;3,8;1,6;-13,7;0
010340103;31,0;2;12750;18170;25270;0,69;10030;12110;13750;16160;20880;23500;27460;34540;3,4;4,6;0,303;62,8;56,9;3,4;2,5;33,4;8,0;9,2;3,9;3,6;1,7;-13,4;0
010530101;22,0;1;14740;20960;29130;0,69;10930;13560;16060;18340;23350;27190;31610;39090;3,6;5,5;0,336;70,9;62,2;3,5;5,2;25,9;11,9;7,7;1,5;4,1;2,1;-16,4;0
010530102;19,0;1;15450;21540;28940;0,63;10710;14110;16810;19270;24180;27420;30990;37730;3,5;4,3;0,284;61,6;55,7;2,6;3,3;40,1;7,2;6,6;1,3;3,7;1,6;-15,5;0
010530103;19,0;2;15680;23190;32620;0,73;11110;14260;16950;20070;26220;29930;35040;46120;4,2;5,9;0,356;63,8;55,8;2,8;5,2;33,2;15,8;5,5;1,3;2,8;1,4;-18,3;0
010530201;17,0;1;15880;20970;27800;0,57;11300;14460;16700;19040;23730;26360;29510;36700;3,2;4,3;0,285;67,9;60,2;3,3;4,4;34,3;7,1;6,1;1,6;3,0;1,5;-15,4;0
010530202;33,0;2;12330;17410;23700;0,65;9250;11320;13270;15120;19740;22320;25520;31780;3,4;4,4;0,293;68,5;59,1;4,7;4,7;23,7;6,5;13,4;4,1;6,3;3,0;-12,1;0
010530203;20,0;1;15810;21400;28020;0,57;11180;13960;17210;19350;23500;26450;29730;37110;3,3;4,1;0,271;69,8;64,5;2,8;2,5;30,8;6,1;7,5;2,2;3,7;1,6;-14,2;0
010530301;14,0;1;17430;23670;31880;0,61;12180;15790;18770;21220;26470;29920;34460;44120;3,6;4,6;0,297;72,6;66,9;2,7;3,0;31,4;8,6;5,0;1,0;2,9;1,1;-17,6;0
010530302;22,0;1;14480;20530;27070;0,61;10810;13530;15600;18140;22680;25140;29580;36710;3,4;4,4;0,296;67,5;60,1;3,5;3,9;32,1;7,7;7,8;2,2;3,8;1,8;-15,1;0
010530401;23,0;2;14490;20730;27470;0,63;11260;13420;15650;18290;22770;25540;29210;34780;3,1;3,6;0,254;67,3;59,9;3,1;4,3;33,8;5,0;7,6;3,3;3,0;1,3;-13,7;0
010530402;11,0;1;18300;24280;30250;0,49;13520;16790;19850;21780;26440;28690;32130;37820;2,8;3,3;0,231;66,5;61,7;2,6;2,2;37,8;6,1;4,8;1,9;2,0;0,9;-15,2;0
010530501;13,0;2;17810;24450;30820;0,53;13100;15910;19510;21710;26770;29090;32750;40200;3,1;4,0;0,271;56,8;51,8;1,9;3,1;46,6;9,4;3,6;1,2;1,6;0,8;-16,4;0
010530502;18,0;1;15570;21660;29690;0,65;11640;14210;16590;19130;24330;27140;32000;39660;3,4;4,3;0,294;66,0;58,5;2,2;5,3;35,2;9,6;6,5;2,4;2,8;1,3;-17,3;0
010530503;42,0;1;11640;15240;19900;0,54;8560;10500;12210;13560;16680;18740;21500;25440;3,0;4,0;0,270;63,5;57,1;5,2;1,2;22,9;4,1;19,5;5,3;9,8;4,4;-10,0;0
010530601;36,0;1;12500;16240;22390;0,61;9150;11670;12960;14430;18360;21110;24230;29010;3,2;3,7;0,253;54,9;49,5;4,1;1,3;36,7;4,5;14,3;4,2;6,8;3,3;-10,4;0
010530602;43,0;2;11450;15100;20480;0,60;8750;10440;11980;13390;16900;19150;21670;25650;2,9;3,6;0,252;54,2;47,7;4,9;1,6;35,8;4,5;15,1;4,9;6,9;3,3;-9,6;0
010530603;45,0;2;11440;14690;18590;0,49;8850;10520;12050;13100;15870;17560;19600;23510;2,7;3,1;0,218;55,7;s;s;s;27,4;2,0;22,5;5,9;11,5;5,1;-7,6;0
010530604;15,0;2;16670;22280;28360;0,52;11170;14840;17370;20430;24430;27130;30970;34840;3,1;4,3;0,267;58,3;53,0;2,6;2,7;42,2;7,4;6,1;2,2;2,7;1,2;-14,0;0
010530701;14,0;1;17300;22280;27870;0,47;12280;15790;18430;20370;24280;26540;29630;34490;2,8;4,0;0,277;70,0;64,0;2,6;3,4;28,2;9,6;6,7;2,7;2,8;1,2;-14,5;0
011430101;9,0;1;25670;43380;68210;0,98;14510;22560;29240;36300;52150;61190;77950;100500;6,9;8,8;0,395;96,8;88,9;3,6;4,3;18,8;7,0;0,8;0,2;0,4;0,2;-23,4;0
011430102;7,0;1;29600;51650;79590;0,97;16960;25980;33910;42640;59560;73820;88280;119750;7,1;8,9;0,396;99,7;94,0;2,7;3,0;14,3;7,1;0,8;0,3;0,3;0,2;-21,9;0
011430103;8,0;1;25900;45240;72960;1,04;15410;22660;29250;35790;54510;67170;83850;107240;7,0;9,1;0,405;95,6;90,2;3,3;2,1;15,3;10,3;1,1;0,4;0,5;0,2;-22,3;0
011600101;19,0;1;16850;30330;49160;1,07;6280;14120;19730;24420;37270;45190;56730;75350;12,0;13,3;0,420;89,5;85,1;3,0;1,4;18,3;6,3;1,8;0,6;0,8;0,4;-15,9;0
011600102;19,0;1;17530;34240;55790;1,12;7230;14040;20120;27370;41570;50280;62330;81720;11,3;14,6;0,438;80,7;74,7;3,3;2,7;25,4;11,3;1,4;0,4;0,7;0,3;-18,8;0
011600103;30,0;1;12670;20960;40170;1,31;6490;11060;13870;17020;25650;35370;45420;65400;10,1;39,3;0,730;99,9;97,9;1,5;0,5;9,1;2,5;1,6;0,5;0,7;0,4;-13,1;0
011730101;14,0;1;18550;30300;46490;0,92;11290;16140;20550;24610;36320;42910;50830;68460;6,1;7,8;0,382;98,2;91,8;4,0;2,4;11,7;6,1;2,2;0,8;0,9;0,5;-18,2;0
011730102;9,0;1;22160;35690;52720;0,86;14490;19720;24710;29630;41270;48680;58330;74470;5,1;6,5;0,354;97,5;92,8;3,2;1,5;13,5;5,8;1,8;0,8;0,6;0,4;-18,6;0
011730103;9,0;1;23640;39150;56170;0,83;14780;20470;26730;33260;44730;52480;61100;78140;5,3;6,9;0,357;102,9;96,9;3,8;2,2;11,0;4,3;1,3;0,5;0,5;0,3;-19,5;0
011940101;11,0;1;17570;23200;29080;0,50;13410;16120;18670;20970;25490;27690;30870;36410;2,7;3,1;0,225;70,9;64,2;3,3;3,4;31,5;5,5;5,9;2,3;2,3;1,3;-13,8;0
011940102;9,0;2;19710;25750;33190;0,52;14440;18480;21220;23530;27810;31530;34980;41340;2,9;3,4;0,238;77,8;71,0;2,9;3,9;27,0;7,6;3,5;1,8;1,2;0,5;-15,9;0
012020101;9,0;1;19130;24640;31190;0,49;14060;17920;20580;22520;26970;29730;33780;39020;2,8;3,2;0,225;75,7;69,2;2,9;3,6;28,7;6,9;4,0;1,8;1,6;0,6;-15,3;0
012020102;11,0;1;17960;23170;29620;0,50;13700;16580;18880;20970;25530;28180;31380;37360;2,7;3,4;0,241;72,6;65,6;2,8;4,2;30,3;6,7;5,0;2,0;2,1;0,9;-14,6;0
012440101;9,0;1;19070;25480;33300;0,56;14150;17720;20350;22580;28170;31180;35330;42080;3,0;3,5;0,245;78,9;73,9;2,6;2,4;26,1;6,8;4,4;1,7;1,9;0,8;-16,2;0
012440102;13,0;1;16860;22040;29260;0,56;12920;15920;18100;19920;24920;27700;31150;37170;2,9;3,5;0,253;74,9;68,0;3,0;3,9;25,1;8,3;6,3;2,2;2,8;1,3;-14,6;0
012440103;7,0;2;20390;26340;32930;0,48;15800;19230;21330;24250;28980;31590;34840;41090;2,6;3,0;0,217;87,5;82,3;2,3;2,9;18,8;5,0;4,8;2,9;1,3;0,6;-16,1;0
012490101;8,0;1;20650;25950;33040;0,48;15200;19180;21480;23750;28400;31300;35400;42640;2,8;3,6;0,247;84,8;78,1;2,7;4,0;21,4;7,5;3,5;1,7;1,2;0,6;-17,2;0
012490102;14,0;1;17220;24720;32700;0,63;12480;15680;19030;21890;27430;30990;34950;41200;3,3;3,8;0,257;75,3;69,7;2,8;2,8;28,7;7,1;5,1;1,9;2,1;1,1;-16,2;0
012490103;6,0;1;22510;29560;37430;0,50;16680;21200;23670;26390;32350;35520;40200;48380;2,9;3,4;0,237;87,6;80,7;2,0;4,9;19,2;9,0;2,9;1,7;0,8;0,4;-18,7;0
012620101;5,0;1;21240;28050;35350;0,50;15940;20050;22560;25330;30500;33590;37600;45320;2,8;3,2;0,231;83,5;75,9;2,5;5,1;22,5;8,5;2,9;1,5;0,9;0,5;-17,4;0
012620102;21,0;1;14570;20440;25950;0,56;11140;13620;15660;17860;22560;24780;27340;32310;2,9;3,5;0,242;77,7;70,2;4,2;3,3;22,9;4,8;7,8;3,1;3,2;1,5;-13,2;0
012830102;39,0;2;11930;14910;19540;0,51;9610;11230;12700;14040;16530;18450;20910;23990;2,5;2,9;0,209;64,2;57,7;6,2;0,3;25,3;2,3;16,6;6,7;6,6;3,3;-8,4;0
012830103;39,0;1;12110;15540;20010;0,51;9600;11430;12690;13940;17210;19030;21400;26090;2,7;3,2;0,236;60,3;54,6;5,3;0,4;32,1;3,7;13,3;5,1;5,2;3,0;-9,4;0
012830104;43,0;2;12000;14870;19310;0,49;9270;11160;12630;13640;16140;18150;20390;24190;2,6;3,0;0,221;64,8;55,8;6,6;2,4;23,5;2,0;19,1;8,2;7,2;3,7;-9,4;0
012830201;23,0;2;14600;19950;26480;0,60;10450;13350;15190;17420;22200;24770;27750;33270;3,2;4,2;0,278;65,4;57,9;4,6;2,9;34,1;7,9;6,6;2,6;2,6;1,4;-14,0;0
012830202;26,0;1;13520;19170;25650;0,63;8250;12200;14720;16790;21230;23860;27550;34300;4,2;5,3;0,296;70,6;64,7;4,1;1,8;29,6;5,8;7,1;2,8;2,8;1,5;-13,1;0
012830203;33,0;2;12210;16610;23240;0,66;9870;11770;13200;15360;19470;21970;25090;31840;3,2;3,8;0,274;65,1;56,4;5,2;3,5;29,4;5,4;11,6;4,4;5,0;2,2;-11,5;0
012830301;24,0;1;14020;19400;25090;0,57;10570;13330;15190;17400;21380;23720;27320;32520;3,1;4,0;0,275;71,6;65,5;4,1;2,0;28,5;5,7;7,5;3,0;3,0;1,5;-13,3;0
012830302;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
012830303;25,0;2;13880;19900;25530;0,59;10170;12400;15350;17720;22040;24270;27370;33620;3,3;4,4;0,277;72,7;64,4;4,6;3,7;27,5;6,1;7,7;3,1;3,0;1,6;-14,0;0
012830304;21,0;2;15280;20800;26500;0,54;11540;13810;16870;19130;23140;25090;28350;34730;3,0;5,8;0,369;65,5;58,3;3,1;4,1;22,3;23,1;5,1;2,1;2,1;0,9;-16,0;0
012830305;3,0;2;22400;27570;35240;0,47;16390;20550;23180;25090;30000;33230;38660;47730;2,9;4,3;0,305;72,4;66,7;2,0;3,7;28,2;15,7;2,3;1,2;0,8;0,3;-18,6;0
012830306;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
012890101;13,0;1;17380;22580;28410;0,49;12860;15940;18340;20480;24600;27120;30490;36960;2,9;3,2;0,226;63,1;58,7;2,4;2,0;37,9;6,9;5,6;2,2;2,3;1,1;-13,5;0
012890102;8,0;1;19810;25280;32590;0,51;14730;18210;20870;22980;27500;30830;35130;42950;2,9;3,5;0,250;67,6;61,8;1,9;3,9;36,1;9,4;3,6;1,6;1,4;0,6;-16,7;0
013540101;16,0;1;18580;35730;59960;1,16;9840;16190;21630;28270;45170;55090;66840;85620;8,7;11,4;0,421;94,4;89,8;3,0;1,6;15,1;4,8;1,6;0,7;0,5;0,4;-15,9;0
013540102;19,0;1;16920;29340;51200;1,17;8180;14250;19110;23990;36640;44580;56710;73990;9,0;11,9;0,420;90,5;85,7;3,3;1,5;18,0;5,1;2,4;0,9;0,9;0,6;-16,0;1
013540103;22,0;1;14890;23740;37320;0,94;8990;13370;16010;19620;28260;33840;40970;53420;5,9;7,8;0,373;84,7;79,2;3,9;1,6;22,3;4,1;3,8;1,5;1,4;0,9;-14,9;0
014270101;11,0;2;18250;25150;31390;0,52;13220;16510;19780;22470;27630;29990;33670;39630;3,0;3,5;0,241;82,5;75,1;2,9;4,5;22,1;5,8;5,1;2,8;1,5;0,8;-15,5;0
014270102;11,0;1;17880;23480;30700;0,55;13400;16480;19060;21600;25840;28740;33290;39740;3,0;3,7;0,256;80,2;72,2;3,1;4,9;23,6;7,3;5,1;2,1;2,1;0,9;-16,2;0
014510101;3,0;2;22120;27290;33780;0,43;17940;20740;23260;25060;29290;31910;35030;41940;2,3;3,0;0,218;73,9;66,5;1,7;5,7;28,5;11,4;2,6;1,6;0,7;0,3;-16,4;0
014510102;9,0;1;18970;24490;31070;0,49;14060;17510;20130;22530;26570;29450;32800;39000;2,8;3,2;0,228;71,0;65,3;2,4;3,3;32,0;7,5;4,6;2,2;1,6;0,8;-15,1;0
021680101;28,0;1;13100;18520;24930;0,64;9460;11990;14170;16100;20810;23170;26630;32650;3,5;4,5;0,289;69,1;59,2;4,5;5,4;28,2;6,3;10,3;2,6;5,1;2,6;-13,9;0
021680201;17,0;2;16210;22120;29960;0,62;11610;14440;17600;19570;24490;27630;32950;40200;3,5;4,4;0,290;71,2;59,8;3,5;7,9;30,3;9,1;6,2;2,3;2,6;1,3;-16,8;0
021680301;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
021680401;21,0;2;15160;20640;27560;0,60;10380;13400;16120;18450;22800;25950;28980;34740;3,3;4,0;0,270;67,2;61,1;2,8;3,3;30,4;7,7;8,4;2,8;3,8;1,8;-13,7;0
021680501;51,0;2;10370;13720;18910;0,62;8440;9690;11170;12450;15530;17530;20130;23690;2,8;3,4;0,241;57,2;50,2;6,6;0,4;24,2;2,0;24,4;7,3;11,3;5,8;-7,8;0
021680601;13,0;2;16830;23290;30610;0,59;13030;15890;18160;21050;26070;29240;32510;39730;3,0;3,9;0,273;67,2;56,9;2,7;7,6;37,8;7,5;4,7;2,0;2,0;0,7;-17,2;0
021680701;27,0;1;13500;18530;24310;0,58;10090;12480;14420;16430;20870;22710;25790;31360;3,1;3,6;0,253;66,1;59,4;3,9;2,8;28,8;4,4;12,7;4,8;5,2;2,7;-12,0;0
021730101;39,0;1;11490;15730;21300;0,62;8840;10660;12410;13980;17970;20090;22970;27490;3,1;3,7;0,261;52,6;47,4;4,0;1,2;35,3;4,0;18,1;4,5;9,4;4,2;-10,0;0
021730201;25,0;1;13890;19470;26010;0,62;10050;12670;14970;17030;21740;24510;28450;34540;3,4;4,3;0,285;64,8;56,5;3,0;5,3;33,7;6,3;9,3;2,5;4,7;2,1;-14,1;0
021730301;17,0;1;16000;21930;28370;0,56;11650;14620;17320;19830;23970;26670;30250;37230;3,2;3,9;0,265;67,7;58,5;2,9;6,3;33,5;6,3;7,3;2,1;3,5;1,7;-14,8;0
023400101;13,0;2;16810;21180;25580;0,41;13030;15800;17870;19590;22580;24330;27020;31260;2,4;2,8;0,198;70,4;64,3;2,9;3,2;31,1;3,4;7,2;2,7;3,4;1,1;-12,1;0
023400201;21,0;2;14580;20110;25740;0,55;10950;13770;15820;18190;21990;24570;27130;31680;2,9;3,4;0,241;64,5;58,3;3,2;3,0;34,8;3,0;9,8;3,4;4,4;2,0;-12,1;0
023400301;17,0;2;16480;21220;25730;0,44;11840;15230;17800;19640;22880;24770;27510;31310;2,6;2,9;0,199;56,4;52,1;2,8;1,5;44,7;3,8;6,1;1,4;3,4;1,3;-11,0;0
023810101;37,0;1;11910;15810;21410;0,60;9400;11020;12810;14270;17620;20280;23060;28260;3,0;4,0;0,277;50,8;44,2;3,1;3,5;35,5;7,8;16,8;3,5;9,2;4,1;-10,9;0
023810201;38,0;1;11560;16050;21690;0,63;8860;10720;12450;14020;17910;20440;23260;27220;3,1;3,9;0,263;49,8;44,9;3,3;1,6;37,4;4,9;17,8;4,4;9,6;3,8;-9,9;0
023810301;29,0;2;13240;18730;24800;0,62;9230;12180;13930;16040;21060;23640;25720;29900;3,2;3,7;0,251;56,0;50,4;2,5;3,1;39,1;4,6;12,6;1,9;7,8;2,9;-12,3;0
023810401;35,0;2;12520;16590;21830;0,56;10010;11780;13390;14790;18650;20720;22580;27140;2,7;2,9;0,219;52,0;47,9;2,8;1,3;37,1;4,3;15,5;4,0;8,2;3,3;-8,9;0
024080101;52,0;1;10260;13520;18450;0,61;8170;9500;10950;12220;14900;17100;20220;23820;2,9;3,5;0,249;46,5;40,4;5,5;0,6;32,5;2,3;26,2;5,3;14,5;6,4;-7,5;0
024080102;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080103;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080201;25,0;1;13780;18240;24010;0,56;9990;12880;14650;16520;20280;22350;25670;30350;3,0;3,4;0,241;60,5;54,7;3,3;2,5;36,2;3,4;11,4;3,6;5,7;2,1;-11,5;0
024080301;23,0;2;14430;20570;27970;0,66;10540;13230;15450;18330;23350;26190;30100;36200;3,4;4,2;0,279;65,8;56,9;3,1;5,8;33,0;7,5;8,9;1,8;4,9;2,2;-15,2;0
024080401;15,0;2;16490;22070;29350;0,58;12080;15130;17560;19750;25160;27700;32330;39290;3,3;4,1;0,283;59,1;52,4;2,5;4,2;42,3;8,6;6,2;1,9;3,2;1,1;-16,2;0
024080402;35,0;1;12190;16080;21190;0,56;9390;11400;13040;14600;18010;20260;22470;26410;2,8;3,4;0,240;56,2;50,9;4,9;0,4;33,0;1,9;18,2;3,3;10,5;4,4;-9,3;0
024080501;28,0;1;13110;19790;28250;0,77;9230;11830;14260;16670;22660;26320;30950;41450;4,5;6,1;0,356;76,1;62,8;3,4;9,9;23,3;7,8;10,3;2,2;5,3;2,8;-17,5;0
024080601;25,0;1;14080;19690;26110;0,61;10260;12980;15050;17410;21870;24360;27680;32240;3,1;3,8;0,260;67,2;60,9;3,1;3,2;30,9;5,0;10,1;2,8;5,0;2,3;-13,2;0
024080701;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080801;34,0;1;12340;17480;23680;0,65;9140;11030;13230;14920;19940;22510;25600;30440;3,3;3,9;0,268;58,9;52,5;3,3;3,1;34,8;3,5;14,5;3,6;7,5;3,4;-11,7;0
024080901;11,0;2;17930;23090;29800;0,51;13540;16360;19130;21300;25510;28110;32810;42770;3,2;4,0;0,272;64,8;59,1;2,3;3,4;38,3;9,0;5,2;1,6;2,6;1,0;-17,3;0
026910101;21,0;1;15150;22480;32350;0,77;10230;13820;16490;19700;25590;29920;35620;47880;4,7;6,7;0,373;74,5;55,6;2,5;16,4;27,5;11,5;7,3;1,7;3,6;2,0;-20,8;0
026910102;21,0;2;15070;23940;37470;0,94;11000;13740;17010;20390;28480;33520;41550;58260;5,3;7,0;0,386;75,0;58,7;2,1;14,2;27,7;13,0;5,9;1,3;3,0;1,6;-21,6;0
026910103;31,0;2;12650;18670;26920;0,76;9230;11510;13830;15980;21410;24590;30050;40190;4,4;6,3;0,362;72,8;61,9;3,4;7,5;23,5;9,3;10,2;1,9;5,4;2,9;-15,8;0
026910104;28,0;1;13210;18710;27150;0,75;9620;12040;14530;16310;21310;24860;30220;39180;4,1;5,9;0,366;65,5;54,8;3,7;7,0;24,3;13,8;12,2;2,6;6,4;3,2;-15,8;0
026910201;19,0;1;15140;21190;28820;0,65;11340;14080;16270;18710;23260;26940;31290;39470;3,5;5,5;0,357;70,4;61,0;2,5;6,9;26,0;12,3;8,0;2,1;3,9;2,0;-16,7;0
026910202;19,0;2;15750;21300;27650;0,56;11000;14530;17250;19400;23380;26180;29210;36040;3,3;4,1;0,275;69,7;61,5;2,4;5,8;33,5;5,5;6,2;1,6;3,2;1,4;-14,9;0
026910203;21,0;2;14980;20630;28170;0,64;10800;13590;16230;18260;23190;25930;29960;37220;3,4;4,3;0,284;53,4;46,4;2,2;4,8;46,6;7,6;7,7;1,9;4,1;1,7;-15,3;0
026910204;55,0;2;9980;13150;18260;0,63;8090;9250;10470;11530;14640;16340;20160;25360;3,1;3,8;0,280;45,4;38,8;4,6;2,0;28,1;5,2;30,1;8,7;14,6;6,8;-8,8;0
026910205;61,0;2;9500;12520;16800;0,58;7430;8900;10150;11310;13750;15340;17570;20610;2,8;3,3;0,234;42,1;s;s;s;27,1;1,5;34,9;7,6;18,8;8,5;-5,6;0
026910206;45,0;2;10430;14520;19550;0,63;8770;9770;11210;12710;15860;18460;20910;24740;2,8;3,3;0,242;30,5;s;s;s;53,7;2,8;20,5;5,1;10,4;5,0;-7,5;0
026910207;43,0;2;11410;15140;20100;0,57;8810;10590;12170;13500;16970;19270;21570;26230;3,0;3,2;0,233;39,0;s;s;s;47,6;3,1;18,5;4,2;9,7;4,6;-8,2;0
026910208;17,0;2;16100;22350;30270;0,63;10980;15020;17600;19830;25270;28660;31820;40940;3,7;4,7;0,311;68,7;61,4;1,7;5,6;31,3;10,7;6,3;2,3;2,8;1,2;-17,0;0
026910209;21,0;2;15140;21610;31530;0,76;10730;13430;16300;18900;24540;28790;35630;45640;4,3;5,3;0,327;75,5;63,8;2,3;9,4;28,1;7,4;8,1;2,2;3,9;2,0;-19,1;0
026910210;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910301;33,0;2;12180;16970;22570;0,61;9150;11010;13310;14890;18860;21180;23930;28130;3,1;3,9;0,268;65,2;57,7;3,9;3,6;25,6;4,9;15,8;3,8;8,1;3,9;-11,5;0
026910302;21,0;2;14640;19890;24410;0,49;10420;13520;15820;18090;21340;23260;26030;30200;2,9;3,3;0,228;65,6;58,9;3,0;3,7;33,6;3,7;9,1;2,3;4,9;1,9;-12,0;0
026910303;39,0;1;12020;16020;20470;0,53;9170;11110;12710;13980;17700;19500;21830;24820;2,7;3,0;0,216;43,1;39,0;3,5;0,6;41,6;1,8;21,1;4,3;11,9;4,9;-7,6;0
026910304;32,0;1;12750;17300;22800;0,58;9680;11490;13500;15290;19530;21490;24160;29230;3,0;3,6;0,253;59,4;52,0;3,9;3,5;32,0;3,5;15,5;4,0;7,8;3,7;-10,4;0
026910401;27,0;1;13490;18670;24660;0,60;10030;12690;14430;16310;20930;23400;26600;32160;3,2;3,7;0,259;58,5;51,4;3,1;4,0;36,1;4,7;12,5;3,3;6,4;2,8;-11,8;0
026910402;27,0;2;13590;17740;23310;0,55;10070;12330;14320;15740;19650;21950;24730;29520;2,9;3,3;0,234;66,3;59,6;3,7;3,0;29,3;2,2;12,9;2,5;7,5;2,9;-10,7;0
026910403;21,0;2;14390;19340;24560;0,53;10980;13740;15500;17720;21260;23240;25820;29760;2,7;3,0;0,217;59,6;55,4;2,6;1,6;38,0;3,3;10,4;3,2;5,3;1,9;-11,3;0
026910501;28,0;1;13400;18210;23500;0,55;10190;12570;14220;16360;20020;22460;25290;30680;3,0;3,6;0,255;64,9;57,5;3,3;4,1;29,1;4,3;13,4;3,2;7,3;2,9;-11,7;0
026910502;27,0;2;13470;19020;26990;0,71;9760;12440;14640;17080;21770;25200;28640;34760;3,6;3,9;0,273;65,5;57,0;3,7;4,8;29,4;6,3;11,7;3,1;5,9;2,7;-12,9;0
026910503;49,0;2;10540;14020;18990;0,60;8260;9600;11090;12520;15690;18010;20720;24140;2,9;3,4;0,247;53,5;47,2;5,2;1,1;25,9;2,0;26,1;5,4;14,7;6,0;-7,5;0
026910504;19,0;2;14560;20050;26270;0,58;11080;13850;16070;18310;22180;24640;27680;32880;3,0;3,5;0,249;59,4;51,9;2,7;4,8;40,5;3,7;8,7;2,7;4,4;1,6;-12,3;0
026910505;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910601;24,0;1;13960;19180;25030;0,58;10200;12790;15060;17090;21410;23420;26790;33090;3,2;4,0;0,271;67,7;59,6;3,2;4,9;29,3;5,4;11,3;2,9;5,9;2,5;-13,7;0
027220101;51,0;2;10440;13700;19190;0,64;8200;9760;11090;12230;15150;17760;21210;27200;3,3;4,1;0,291;44,5;37,0;4,2;3,3;36,7;7,4;21,5;6,8;9,8;4,9;-10,1;0
027220102;63,0;2;9610;12400;15940;0,51;7740;8990;10100;11120;13540;15020;16770;20390;2,6;3,0;0,219;50,0;s;s;s;18,2;1,1;36,5;9,9;19,1;7,5;-5,8;0
