CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,DLF,LR,DVD,DVC,ENS,MODEM,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_EXD,score_DLF,score_LR,score_DVD,score_DVC,score_ENS,score_MODEM,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
011840000,602,283,319,6.0,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.48,52.99,2.17,0.36
011940101,2167,852,1315,9.0,2,841,0,0,0,0,680,96,0,0,0,0,0,0,0,0,0,0,0,65,0.0,0.0,0.0,0.0,80.86,11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,60.68,1.07,0.24
011940102,2190,816,1374,8.0,8,800,0,0,0,0,591,108,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0.0,0.0,73.88,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,62.74,1.0,1.0
012100000,208,170,38,0.0,4,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.34,18.27,0.0,2.41
012470000,239,169,70,5.0,6,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.29,3.16,3.8
012490102,3922,1581,2341,13.0,12,1556,0,0,0,0,752,0,172,0,0,0,0,0,632,0,0,0,0,0,0.0,0.0,0.0,0.0,48.33,0.0,11.05,0.0,0.0,0.0,0.0,0.0,40.62,0.0,0.0,0.0,0.0,0.0,59.69,0.84,0.77
012490103,2925,1202,1723,10.0,6,1186,0,0,0,0,639,0,141,0,0,0,0,0,406,0,0,0,0,0,0.0,0.0,0.0,0.0,53.88,0.0,11.89,0.0,0.0,0.0,0.0,0.0,34.23,0.0,0.0,0.0,0.0,0.0,58.91,0.84,0.51
012800000,138,95,43,0.0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.63,31.16,0.0,0.0
012940000,602,165,437,3.0,23,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.1,72.59,2.16,16.55
012980000,110,87,23,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.74,20.91,0.0,1.16
013020000,148,55,93,4.0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.91,62.84,8.51,8.51
013070000,580,173,407,17.0,4,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.47,70.17,11.18,2.63
013080000,461,204,257,1.0,15,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.94,55.75,0.53,7.98
013190000,352,186,166,4.0,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.16,2.21,0.55
013310000,149,62,87,2.0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.39,3.64,9.09
