CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,LR,DVD,DVC,MODEM,UDI,UG,PS,DVG,EELV,PCF,EXG,AUTRE,score_RN,score_EXD,score_LR,score_DVD,score_DVC,score_MODEM,score_UDI,score_UG,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_AUTRE,pct_abstention,score_blanc,score_nul
011740000,144,87,57,0.0,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.29,39.58,0.0,55.36
011800000,549,382,167,0.0,9,373,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.2,30.42,0.0,2.41
011850000,2252,1449,803,0.0,119,1330,0,0,0,0,0,0,815,0,0,515,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.28,0.0,0.0,38.72,0.0,0.0,0.0,0.0,35.66,0.0,8.95
011900000,120,93,27,0.0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.03,22.5,0.0,2.2
011910000,136,84,52,0.0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.67,38.24,0.0,0.0
011940101,1948,1337,611,0.0,19,1318,0,0,0,555,0,0,0,0,0,0,0,0,0,763,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89,31.37,0.0,1.44
011940102,2018,1425,593,0.0,34,1391,0,0,0,616,0,0,0,0,0,0,0,0,0,775,0.0,0.0,0.0,44.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72,29.39,0.0,2.44
012080000,124,113,11,0.0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.43,8.87,0.0,0.89
012340000,147,90,57,0.0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.78,0.0,2.27
012350000,629,395,234,0.0,12,383,0,0,0,0,0,0,0,0,0,0,0,0,0,5413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.32,37.2,0.0,3.13
012390000,490,395,95,0.0,13,382,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.95,19.39,0.0,3.4
012420000,89,59,30,0.0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.05,33.71,0.0,0.0
012490101,1324,787,537,0.0,16,771,0,0,0,337,0,0,0,0,0,434,0,0,0,0,0.0,0.0,0.0,43.71,0.0,0.0,0.0,0.0,0.0,56.29,0.0,0.0,0.0,0.0,40.56,0.0,2.08
